
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 499
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 499, -, 1.0, -, 8.4, 20.6, 0.2, "Hollister-04", 1986, "Hollister Differential Array #3", 5.45, strike slip, 13.11, 14.11, 215.54, 0.1, 1.0, RSN499_HOLLISTR_D-HD3255.AT2, RSN499_HOLLISTR_D-HD3345.AT2 , RSN499_HOLLISTR_D-HD3-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-499 RotD50 pSa (g)
0.01,0.09809037,0.09809037,0.09809037,0.09809037
0.02,0.09929781,0.09929781,0.09929781,0.09929781
0.022,0.09967386,0.09967386,0.09967386,0.09967386
0.025,0.1000981,0.1000981,0.1000981,0.1000981
0.029,0.1011614,0.1011614,0.1011614,0.1011614
0.03,0.1018951,0.1018951,0.1018951,0.1018951
0.032,0.1031731,0.1031731,0.1031731,0.1031731
0.035,0.1043472,0.1043472,0.1043472,0.1043472
0.036,0.1046951,0.1046951,0.1046951,0.1046951
0.04,0.107509,0.107509,0.107509,0.107509
0.042,0.1069212,0.1069212,0.1069212,0.1069212
0.044,0.1119915,0.1119915,0.1119915,0.1119915
0.045,0.115818,0.115818,0.115818,0.115818
0.046,0.1196701,0.1196701,0.1196701,0.1196701
0.048,0.1181079,0.1181079,0.1181079,0.1181079
0.05,0.1203304,0.1203304,0.1203304,0.1203304
0.055,0.1473055,0.1473055,0.1473055,0.1473055
0.06,0.1433738,0.1433738,0.1433738,0.1433738
0.065,0.1430557,0.1430557,0.1430557,0.1430557
0.067,0.1430683,0.1430683,0.1430683,0.1430683
0.07,0.1356566,0.1356566,0.1356566,0.1356566
0.075,0.1447674,0.1447674,0.1447674,0.1447674
0.08,0.1655002,0.1655002,0.1655002,0.1655002
0.085,0.1818287,0.1818287,0.1818287,0.1818287
0.09,0.1960234,0.1960234,0.1960234,0.1960234
0.095,0.2084081,0.2084081,0.2084081,0.2084081
0.1,0.2134279,0.2134279,0.2134279,0.2134279
0.11,0.2905147,0.2905147,0.2905147,0.2905147
0.12,0.2568035,0.2568035,0.2568035,0.2568035
0.13,0.2902582,0.2902582,0.2902582,0.2902582
0.133,0.2934876,0.2934876,0.2934876,0.2934876
0.14,0.2635431,0.2635431,0.2635431,0.2635431
0.15,0.2201424,0.2201424,0.2201424,0.2201424
0.16,0.2142195,0.2142195,0.2142195,0.2142195
0.17,0.2379538,0.2379538,0.2379538,0.2379538
0.18,0.2754552,0.2754552,0.2754552,0.2754552
0.19,0.2770828,0.2770828,0.2770828,0.2770828
0.2,0.2549596,0.2549596,0.2549596,0.2549596
0.22,0.2338466,0.2338466,0.2338466,0.2338466
