
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 502
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 502, -, 1.0, -, 3.1, 9.5, 0.2, "Mt. Lewis", 1986, "Halls Valley", 5.6, strike slip, 12.37, 13.54, 281.61, 0.25, 1.0, RSN502_MTLEWIS_HVR000.AT2, RSN502_MTLEWIS_HVR090.AT2 , RSN502_MTLEWIS_HVR-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-502 RotD50 pSa (g)
0.01,0.1460381,0.1460381,0.1460381,0.1460381
0.02,0.146548,0.146548,0.146548,0.146548
0.022,0.1468311,0.1468311,0.1468311,0.1468311
0.025,0.1470864,0.1470864,0.1470864,0.1470864
0.029,0.1474648,0.1474648,0.1474648,0.1474648
0.03,0.1477221,0.1477221,0.1477221,0.1477221
0.032,0.148201,0.148201,0.148201,0.148201
0.035,0.1488986,0.1488986,0.1488986,0.1488986
0.036,0.1492818,0.1492818,0.1492818,0.1492818
0.04,0.1490751,0.1490751,0.1490751,0.1490751
0.042,0.1489037,0.1489037,0.1489037,0.1489037
0.044,0.1488571,0.1488571,0.1488571,0.1488571
0.045,0.1493832,0.1493832,0.1493832,0.1493832
0.046,0.1505724,0.1505724,0.1505724,0.1505724
0.048,0.1513585,0.1513585,0.1513585,0.1513585
0.05,0.1514879,0.1514879,0.1514879,0.1514879
0.055,0.1516852,0.1516852,0.1516852,0.1516852
0.06,0.1552867,0.1552867,0.1552867,0.1552867
0.065,0.154536,0.154536,0.154536,0.154536
0.067,0.1554973,0.1554973,0.1554973,0.1554973
0.07,0.157676,0.157676,0.157676,0.157676
0.075,0.1658387,0.1658387,0.1658387,0.1658387
0.08,0.1664762,0.1664762,0.1664762,0.1664762
0.085,0.1729595,0.1729595,0.1729595,0.1729595
0.09,0.1904256,0.1904256,0.1904256,0.1904256
0.095,0.1940222,0.1940222,0.1940222,0.1940222
0.1,0.1910152,0.1910152,0.1910152,0.1910152
0.11,0.196811,0.196811,0.196811,0.196811
0.12,0.2453434,0.2453434,0.2453434,0.2453434
0.13,0.2664736,0.2664736,0.2664736,0.2664736
0.133,0.2656556,0.2656556,0.2656556,0.2656556
0.14,0.2529647,0.2529647,0.2529647,0.2529647
0.15,0.2388958,0.2388958,0.2388958,0.2388958
0.16,0.2631816,0.2631816,0.2631816,0.2631816
0.17,0.3113651,0.3113651,0.3113651,0.3113651
0.18,0.335166,0.335166,0.335166,0.335166
0.19,0.3417338,0.3417338,0.3417338,0.3417338
0.2,0.3234366,0.3234366,0.3234366,0.3234366
0.22,0.2604999,0.2604999,0.2604999,0.2604999
