
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 511
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 511, -, 1.0, -, 2.9, 6.5, 0.1, "N. Palm Springs", 1986, "Anza - Red Mountain", 6.06, Reverse Oblique, 38.22, 38.43, 680.37, 0.375, 1.0, RSN511_PALMSPR_ARM270.AT2, RSN511_PALMSPR_ARM360.AT2 , RSN511_PALMSPR_ARM-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-511 RotD50 pSa (g)
0.01,0.1194807,0.1194807,0.1194807,0.1194807
0.02,0.1236919,0.1236919,0.1236919,0.1236919
0.022,0.1250539,0.1250539,0.1250539,0.1250539
0.025,0.1315813,0.1315813,0.1315813,0.1315813
0.029,0.1236312,0.1236312,0.1236312,0.1236312
0.03,0.126961,0.126961,0.126961,0.126961
0.032,0.1317499,0.1317499,0.1317499,0.1317499
0.035,0.1431318,0.1431318,0.1431318,0.1431318
0.036,0.1435633,0.1435633,0.1435633,0.1435633
0.04,0.1540534,0.1540534,0.1540534,0.1540534
0.042,0.1622002,0.1622002,0.1622002,0.1622002
0.044,0.1722406,0.1722406,0.1722406,0.1722406
0.045,0.1746663,0.1746663,0.1746663,0.1746663
0.046,0.1768047,0.1768047,0.1768047,0.1768047
0.048,0.1968496,0.1968496,0.1968496,0.1968496
0.05,0.221858,0.221858,0.221858,0.221858
0.055,0.2242086,0.2242086,0.2242086,0.2242086
0.06,0.2280194,0.2280194,0.2280194,0.2280194
0.065,0.247599,0.247599,0.247599,0.247599
0.067,0.249489,0.249489,0.249489,0.249489
0.07,0.2358452,0.2358452,0.2358452,0.2358452
0.075,0.243665,0.243665,0.243665,0.243665
0.08,0.2245528,0.2245528,0.2245528,0.2245528
0.085,0.203892,0.203892,0.203892,0.203892
0.09,0.2104248,0.2104248,0.2104248,0.2104248
0.095,0.1940703,0.1940703,0.1940703,0.1940703
0.1,0.2072392,0.2072392,0.2072392,0.2072392
0.11,0.2980875,0.2980875,0.2980875,0.2980875
0.12,0.4038626,0.4038626,0.4038626,0.4038626
0.13,0.3847053,0.3847053,0.3847053,0.3847053
0.133,0.3968793,0.3968793,0.3968793,0.3968793
0.14,0.4455046,0.4455046,0.4455046,0.4455046
0.15,0.4948188,0.4948188,0.4948188,0.4948188
0.16,0.4651029,0.4651029,0.4651029,0.4651029
0.17,0.427192,0.427192,0.427192,0.427192
0.18,0.3477381,0.3477381,0.3477381,0.3477381
0.19,0.2821519,0.2821519,0.2821519,0.2821519
0.2,0.2376508,0.2376508,0.2376508,0.2376508
0.22,0.2054128,0.2054128,0.2054128,0.2054128
0.24,0.2112785,0.2112785,0.2112785,0.2112785
0.25,0.2116262,0.2116262,0.2116262,0.2116262
0.26,0.2014265,0.2014265,0.2014265,0.2014265
0.28,0.1618214,0.1618214,0.1618214,0.1618214
0.29,0.1447074,0.1447074,0.1447074,0.1447074
0.3,0.1394155,0.1394155,0.1394155,0.1394155
0.32,0.1349284,0.1349284,0.1349284,0.1349284
0.34,0.1323227,0.1323227,0.1323227,0.1323227
0.35,0.1305509,0.1305509,0.1305509,0.1305509
0.36,0.1332512,0.1332512,0.1332512,0.1332512
0.38,0.1416966,0.1416966,0.1416966,0.1416966
0.4,0.1403949,0.1403949,0.1403949,0.1403949
0.42,0.1406011,0.1406011,0.1406011,0.1406011
0.44,0.143757,0.143757,0.143757,0.143757
0.45,0.1511342,0.1511342,0.1511342,0.1511342
0.46,0.1537775,0.1537775,0.1537775,0.1537775
0.48,0.1508408,0.1508408,0.1508408,0.1508408
0.5,0.1456295,0.1456295,0.1456295,0.1456295
0.55,0.1148252,0.1148252,0.1148252,0.1148252
0.6,0.09702303,0.09702303,0.09702303,0.09702303
0.65,0.08497986,0.08497986,0.08497986,0.08497986
0.667,0.07865193,0.07865193,0.07865193,0.07865193
0.7,0.06914029,0.06914029,0.06914029,0.06914029
0.75,0.0564876,0.0564876,0.0564876,0.0564876
0.8,0.04679602,0.04679602,0.04679602,0.04679602
0.85,0.04026088,0.04026088,0.04026088,0.04026088
0.9,0.03838052,0.03838052,0.03838052,0.03838052
0.95,0.03901283,0.03901283,0.03901283,0.03901283
1.0,0.03829979,0.03829979,0.03829979,0.03829979
1.1,0.03417506,0.03417506,0.03417506,0.03417506
1.2,0.02974179,0.02974179,0.02974179,0.02974179
1.3,0.026659,0.026659,0.026659,0.026659
1.4,0.02350535,0.02350535,0.02350535,0.02350535
1.5,0.0193889,0.0193889,0.0193889,0.0193889
1.6,0.01649571,0.01649571,0.01649571,0.01649571
1.7,0.01376882,0.01376882,0.01376882,0.01376882
1.8,0.01126323,0.01126323,0.01126323,0.01126323
1.9,0.01000643,0.01000643,0.01000643,0.01000643
2.0,0.00885836,0.00885836,0.00885836,0.00885836
2.2,0.00692888,0.00692888,0.00692888,0.00692888
2.4,0.0054565,0.0054565,0.0054565,0.0054565
2.5,0.00486254,0.00486254,0.00486254,0.00486254
2.6,0.00474123,0.00474123,0.00474123,0.00474123
2.8,0.00421489,0.00421489,0.00421489,0.00421489
3.0,0.00372981,0.00372981,0.00372981,0.00372981
3.2,0.00306361,0.00306361,0.00306361,0.00306361
3.4,0.002487,0.002487,0.002487,0.002487
3.5,0.00225152,0.00225152,0.00225152,0.00225152
3.6,0.00201484,0.00201484,0.00201484,0.00201484
3.8,0.00156523,0.00156523,0.00156523,0.00156523
4.0,0.00135119,0.00135119,0.00135119,0.00135119
4.2,0.00119935,0.00119935,0.00119935,0.00119935
4.4,0.00107349,0.00107349,0.00107349,0.00107349
4.6,0.00096596,0.00096596,0.00096596,0.00096596
4.8,0.00087339,0.00087339,0.00087339,0.00087339
5.0,0.00079315,0.00079315,0.00079315,0.00079315
5.5,0.00063514,0.00063514,0.00063514,0.00063514
6.0,0.00051908,0.00051908,0.00051908,0.00051908
6.5,0.00043255,0.00043255,0.00043255,0.00043255
7.0,0.0003659,0.0003659,0.0003659,0.0003659
7.5,0.00031781,0.00031781,0.00031781,0.00031781
8.0,0.0002794,0.0002794,0.0002794,0.0002794
8.5,0.0002475,0.0002475,0.0002475,0.0002475
9.0,0.00022076,0.00022076,0.00022076,0.00022076
9.5,0.00019809,0.00019809,0.00019809,0.00019809
10.0,0.00017877,0.00017877,0.00017877,0.00017877
11.0,0.00014773,0.00014773,0.00014773,0.00014773
12.0,0.00012413,0.00012413,0.00012413,0.00012413
13.0,0.00010576,0.00010576,0.00010576,0.00010576
14.0,9.115e-05,9.115e-05,9.115e-05,9.115e-05
15.0,7.94e-05,7.94e-05,7.94e-05,7.94e-05
20.0,4.466e-05,4.466e-05,4.466e-05,4.466e-05

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
