
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 543
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 543, -, 1.0, -, 5.7, 18.5, 0.0, "Chalfant Valley-01", 1986, "Benton", 5.77, strike slip, 24.25, 24.33, 370.94, 0.25, 1.0, RSN543_CHALFANT.B_B-BEN270.AT2, RSN543_CHALFANT.B_B-BEN360.AT2 , RSN543_CHALFANT.B_B-BEN-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-543 RotD50 pSa (g)
0.01,0.05115177,0.05115177,0.05115177,0.05115177
0.02,0.05285066,0.05285066,0.05285066,0.05285066
0.022,0.0527657,0.0527657,0.0527657,0.0527657
0.025,0.05364946,0.05364946,0.05364946,0.05364946
0.029,0.05356624,0.05356624,0.05356624,0.05356624
0.03,0.05400888,0.05400888,0.05400888,0.05400888
0.032,0.05647108,0.05647108,0.05647108,0.05647108
0.035,0.06247753,0.06247753,0.06247753,0.06247753
0.036,0.06261107,0.06261107,0.06261107,0.06261107
0.04,0.06779297,0.06779297,0.06779297,0.06779297
0.042,0.07120787,0.07120787,0.07120787,0.07120787
0.044,0.07569784,0.07569784,0.07569784,0.07569784
0.045,0.07475737,0.07475737,0.07475737,0.07475737
0.046,0.07428659,0.07428659,0.07428659,0.07428659
0.048,0.07656198,0.07656198,0.07656198,0.07656198
0.05,0.0756744,0.0756744,0.0756744,0.0756744
0.055,0.08384246,0.08384246,0.08384246,0.08384246
0.06,0.09596038,0.09596038,0.09596038,0.09596038
0.065,0.1238824,0.1238824,0.1238824,0.1238824
0.067,0.1308207,0.1308207,0.1308207,0.1308207
0.07,0.1220568,0.1220568,0.1220568,0.1220568
0.075,0.1179627,0.1179627,0.1179627,0.1179627
0.08,0.1322973,0.1322973,0.1322973,0.1322973
0.085,0.1207922,0.1207922,0.1207922,0.1207922
0.09,0.1236793,0.1236793,0.1236793,0.1236793
0.095,0.1194239,0.1194239,0.1194239,0.1194239
0.1,0.119317,0.119317,0.119317,0.119317
0.11,0.1519272,0.1519272,0.1519272,0.1519272
0.12,0.1619112,0.1619112,0.1619112,0.1619112
0.13,0.141561,0.141561,0.141561,0.141561
0.133,0.1409036,0.1409036,0.1409036,0.1409036
0.14,0.1567026,0.1567026,0.1567026,0.1567026
0.15,0.1707942,0.1707942,0.1707942,0.1707942
0.16,0.1892158,0.1892158,0.1892158,0.1892158
0.17,0.1614001,0.1614001,0.1614001,0.1614001
0.18,0.1518624,0.1518624,0.1518624,0.1518624
0.19,0.1718249,0.1718249,0.1718249,0.1718249
0.2,0.1764214,0.1764214,0.1764214,0.1764214
0.22,0.1578161,0.1578161,0.1578161,0.1578161
0.24,0.1346382,0.1346382,0.1346382,0.1346382
0.25,0.1262078,0.1262078,0.1262078,0.1262078
0.26,0.1207745,0.1207745,0.1207745,0.1207745
0.28,0.1252453,0.1252453,0.1252453,0.1252453
0.29,0.1305352,0.1305352,0.1305352,0.1305352
0.3,0.1255486,0.1255486,0.1255486,0.1255486
0.32,0.09921987,0.09921987,0.09921987,0.09921987
0.34,0.08958116,0.08958116,0.08958116,0.08958116
0.35,0.0869795,0.0869795,0.0869795,0.0869795
0.36,0.08561425,0.08561425,0.08561425,0.08561425
0.38,0.0762246,0.0762246,0.0762246,0.0762246
0.4,0.08473966,0.08473966,0.08473966,0.08473966
0.42,0.0984214,0.0984214,0.0984214,0.0984214
0.44,0.1201467,0.1201467,0.1201467,0.1201467
0.45,0.1257754,0.1257754,0.1257754,0.1257754
0.46,0.1312612,0.1312612,0.1312612,0.1312612
0.48,0.1291907,0.1291907,0.1291907,0.1291907
0.5,0.1087153,0.1087153,0.1087153,0.1087153
0.55,0.08446109,0.08446109,0.08446109,0.08446109
0.6,0.07480883,0.07480883,0.07480883,0.07480883
0.65,0.0548193,0.0548193,0.0548193,0.0548193
0.667,0.04988597,0.04988597,0.04988597,0.04988597
0.7,0.04680293,0.04680293,0.04680293,0.04680293
0.75,0.04724651,0.04724651,0.04724651,0.04724651
0.8,0.04651968,0.04651968,0.04651968,0.04651968
0.85,0.03714355,0.03714355,0.03714355,0.03714355
0.9,0.02950181,0.02950181,0.02950181,0.02950181
0.95,0.02423064,0.02423064,0.02423064,0.02423064
1.0,0.02342484,0.02342484,0.02342484,0.02342484
1.1,0.02039273,0.02039273,0.02039273,0.02039273
1.2,0.01965879,0.01965879,0.01965879,0.01965879
1.3,0.02177368,0.02177368,0.02177368,0.02177368
1.4,0.01845844,0.01845844,0.01845844,0.01845844
1.5,0.01902219,0.01902219,0.01902219,0.01902219
1.6,0.01624993,0.01624993,0.01624993,0.01624993
1.7,0.01422175,0.01422175,0.01422175,0.01422175
1.8,0.01551515,0.01551515,0.01551515,0.01551515
1.9,0.01561732,0.01561732,0.01561732,0.01561732
2.0,0.01409276,0.01409276,0.01409276,0.01409276
2.2,0.01450417,0.01450417,0.01450417,0.01450417
2.4,0.01121277,0.01121277,0.01121277,0.01121277
2.5,0.00851728,0.00851728,0.00851728,0.00851728
2.6,0.00734533,0.00734533,0.00734533,0.00734533
2.8,0.00731892,0.00731892,0.00731892,0.00731892
3.0,0.0071089,0.0071089,0.0071089,0.0071089
3.2,0.00607484,0.00607484,0.00607484,0.00607484
3.4,0.00503148,0.00503148,0.00503148,0.00503148
3.5,0.00487857,0.00487857,0.00487857,0.00487857
3.6,0.00490244,0.00490244,0.00490244,0.00490244
3.8,0.00399362,0.00399362,0.00399362,0.00399362
4.0,0.00328232,0.00328232,0.00328232,0.00328232
4.2,0.00301098,0.00301098,0.00301098,0.00301098
4.4,0.00262307,0.00262307,0.00262307,0.00262307
4.6,0.00229603,0.00229603,0.00229603,0.00229603
4.8,0.00198527,0.00198527,0.00198527,0.00198527
5.0,0.00173677,0.00173677,0.00173677,0.00173677
5.5,0.00133294,0.00133294,0.00133294,0.00133294
6.0,0.00101245,0.00101245,0.00101245,0.00101245
6.5,0.0008996,0.0008996,0.0008996,0.0008996
7.0,0.00077818,0.00077818,0.00077818,0.00077818
7.5,0.00059163,0.00059163,0.00059163,0.00059163
8.0,0.00048349,0.00048349,0.00048349,0.00048349
8.5,0.00039135,0.00039135,0.00039135,0.00039135
9.0,0.00032001,0.00032001,0.00032001,0.00032001
9.5,0.000274,0.000274,0.000274,0.000274
10.0,0.0002483,0.0002483,0.0002483,0.0002483
11.0,0.0001937,0.0001937,0.0001937,0.0001937
12.0,0.00014669,0.00014669,0.00014669,0.00014669
13.0,0.00013374,0.00013374,0.00013374,0.00013374
14.0,0.00011997,0.00011997,0.00011997,0.00011997
15.0,0.00010673,0.00010673,0.00010673,0.00010673
20.0,5.597e-05,5.597e-05,5.597e-05,5.597e-05

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-543 Horizontal-1 pSa (g),RSN-543 Horizontal-2 pSa (g),RSN-543 Vertical pSa (g)
0.01,0.05914651,0.05085916,0.0299
0.02,0.06071253,0.05301709,0.0312
0.022,0.0604144,0.05255603,0.0333
0.025,0.06052302,0.05336778,0.0347
0.029,0.06296069,0.0531695,0.0405
0.03,0.06253755,0.05401527,0.043
