
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 548
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 548, -, 1.0, -, 5.7, 16.6, 0.4, "Chalfant Valley-02", 1986, "Benton", 6.19, strike slip, 21.55, 21.92, 370.94, 0.125, 1.0, RSN548_CHALFANT.A_A-BEN270.AT2, RSN548_CHALFANT.A_A-BEN360.AT2 , RSN548_CHALFANT.A_A-BEN-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-548 RotD50 pSa (g)
0.01,0.1923248,0.1923248,0.1923248,0.1923248
0.02,0.1955764,0.1955764,0.1955764,0.1955764
0.022,0.1936584,0.1936584,0.1936584,0.1936584
0.025,0.197411,0.197411,0.197411,0.197411
0.029,0.2017117,0.2017117,0.2017117,0.2017117
0.03,0.2055284,0.2055284,0.2055284,0.2055284
0.032,0.2086062,0.2086062,0.2086062,0.2086062
0.035,0.2060845,0.2060845,0.2060845,0.2060845
0.036,0.2088606,0.2088606,0.2088606,0.2088606
0.04,0.2359231,0.2359231,0.2359231,0.2359231
0.042,0.2290622,0.2290622,0.2290622,0.2290622
0.044,0.2330105,0.2330105,0.2330105,0.2330105
0.045,0.2294439,0.2294439,0.2294439,0.2294439
0.046,0.2332932,0.2332932,0.2332932,0.2332932
0.048,0.2502924,0.2502924,0.2502924,0.2502924
0.05,0.254999,0.254999,0.254999,0.254999
0.055,0.2538929,0.2538929,0.2538929,0.2538929
0.06,0.2778885,0.2778885,0.2778885,0.2778885
0.065,0.2826105,0.2826105,0.2826105,0.2826105
0.067,0.3014608,0.3014608,0.3014608,0.3014608
0.07,0.3300122,0.3300122,0.3300122,0.3300122
0.075,0.3523088,0.3523088,0.3523088,0.3523088
0.08,0.3884828,0.3884828,0.3884828,0.3884828
0.085,0.4332194,0.4332194,0.4332194,0.4332194
0.09,0.4268443,0.4268443,0.4268443,0.4268443
0.095,0.4206545,0.4206545,0.4206545,0.4206545
0.1,0.3894033,0.3894033,0.3894033,0.3894033
0.11,0.3912554,0.3912554,0.3912554,0.3912554
0.12,0.4960303,0.4960303,0.4960303,0.4960303
0.13,0.5300757,0.5300757,0.5300757,0.5300757
0.133,0.4997283,0.4997283,0.4997283,0.4997283
0.14,0.5328264,0.5328264,0.5328264,0.5328264
0.15,0.5865154,0.5865154,0.5865154,0.5865154
0.16,0.6090799,0.6090799,0.6090799,0.6090799
0.17,0.6404318,0.6404318,0.6404318,0.6404318
0.18,0.6643983,0.6643983,0.6643983,0.6643983
0.19,0.6045012,0.6045012,0.6045012,0.6045012
0.2,0.5221164,0.5221164,0.5221164,0.5221164
0.22,0.4041871,0.4041871,0.4041871,0.4041871
0.24,0.4475318,0.4475318,0.4475318,0.4475318
0.25,0.3991441,0.3991441,0.3991441,0.3991441
0.26,0.3737282,0.3737282,0.3737282,0.3737282
0.28,0.312315,0.312315,0.312315,0.312315
0.29,0.2901871,0.2901871,0.2901871,0.2901871
0.3,0.3035792,0.3035792,0.3035792,0.3035792
0.32,0.3432872,0.3432872,0.3432872,0.3432872
0.34,0.3489868,0.3489868,0.3489868,0.3489868
0.35,0.3442183,0.3442183,0.3442183,0.3442183
0.36,0.3365893,0.3365893,0.3365893,0.3365893
0.38,0.3125968,0.3125968,0.3125968,0.3125968
0.4,0.3017635,0.3017635,0.3017635,0.3017635
0.42,0.2903984,0.2903984,0.2903984,0.2903984
0.44,0.3068579,0.3068579,0.3068579,0.3068579
0.45,0.3077134,0.3077134,0.3077134,0.3077134
0.46,0.2993684,0.2993684,0.2993684,0.2993684
0.48,0.3126969,0.3126969,0.3126969,0.3126969
0.5,0.3270258,0.3270258,0.3270258,0.3270258
0.55,0.2852685,0.2852685,0.2852685,0.2852685
0.6,0.2650119,0.2650119,0.2650119,0.2650119
0.65,0.2703254,0.2703254,0.2703254,0.2703254
0.667,0.2650709,0.2650709,0.2650709,0.2650709
0.7,0.2415835,0.2415835,0.2415835,0.2415835
0.75,0.2222609,0.2222609,0.2222609,0.2222609
0.8,0.2489002,0.2489002,0.2489002,0.2489002
0.85,0.2487677,0.2487677,0.2487677,0.2487677
0.9,0.2409072,0.2409072,0.2409072,0.2409072
0.95,0.2442182,0.2442182,0.2442182,0.2442182
1.0,0.2538674,0.2538674,0.2538674,0.2538674
1.1,0.232295,0.232295,0.232295,0.232295
1.2,0.2020642,0.2020642,0.2020642,0.2020642
1.3,0.1408242,0.1408242,0.1408242,0.1408242
1.4,0.1333641,0.1333641,0.1333641,0.1333641
1.5,0.1077489,0.1077489,0.1077489,0.1077489
1.6,0.1026452,0.1026452,0.1026452,0.1026452
1.7,0.09915861,0.09915861,0.09915861,0.09915861
1.8,0.09659784,0.09659784,0.09659784,0.09659784
1.9,0.09465621,0.09465621,0.09465621,0.09465621
2.0,0.08933386,0.08933386,0.08933386,0.08933386
2.2,0.06936242,0.06936242,0.06936242,0.06936242
2.4,0.05266596,0.05266596,0.05266596,0.05266596
2.5,0.04664451,0.04664451,0.04664451,0.04664451
2.6,0.04308056,0.04308056,0.04308056,0.04308056
2.8,0.03424449,0.03424449,0.03424449,0.03424449
3.0,0.02826079,0.02826079,0.02826079,0.02826079
3.2,0.02476742,0.02476742,0.02476742,0.02476742
3.4,0.02145109,0.02145109,0.02145109,0.02145109
3.5,0.01993422,0.01993422,0.01993422,0.01993422
3.6,0.01849994,0.01849994,0.01849994,0.01849994
3.8,0.01667104,0.01667104,0.01667104,0.01667104
4.0,0.01458126,0.01458126,0.01458126,0.01458126
4.2,0.01204174,0.01204174,0.01204174,0.01204174
4.4,0.01138162,0.01138162,0.01138162,0.01138162
4.6,0.01052197,0.01052197,0.01052197,0.01052197
4.8,0.0095397,0.0095397,0.0095397,0.0095397
5.0,0.00879591,0.00879591,0.00879591,0.00879591
5.5,0.00685912,0.00685912,0.00685912,0.00685912
6.0,0.00506144,0.00506144,0.00506144,0.00506144
6.5,0.00388175,0.00388175,0.00388175,0.00388175
7.0,0.00373683,0.00373683,0.00373683,0.00373683
7.5,0.00320017,0.00320017,0.00320017,0.00320017
8.0,0.0025591,0.0025591,0.0025591,0.0025591
8.5,0.00224084,0.00224084,0.00224084,0.00224084
9.0,0.00198206,0.00198206,0.00198206,0.00198206
9.5,0.00175425,0.00175425,0.00175425,0.00175425
10.0,0.00157633,0.00157633,0.00157633,0.00157633
11.0,0.00127042,0.00127042,0.00127042,0.00127042
12.0,0.00104787,0.00104787,0.00104787,0.00104787
13.0,0.00087468,0.00087468,0.00087468,0.00087468
14.0,0.00073979,0.00073979,0.00073979,0.00073979
15.0,0.00063281,0.00063281,0.00063281,0.00063281
20.0,0.00033073,0.00033073,0.00033073,0.00033073

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-548 Horizontal-1 pSa (g),RSN-548 Horizontal-2 pSa (g),RSN-548 Vertical pSa (g)
0.01,0.2099291,0.1786065,0.132
0.02,0.21409,0.1822384,0.138
0.022,0.2102273,0.1848808,0.14
0.025,0.2183745,0.1888411,0.139
0.029,0.246706,0.1903044,0.157
0.03,0.2496547,0.195096,0.158
0.032,0.2526391,0.1946499,0.159
0.035,0.2567959,0.1917556,0.165
0.036,0.2551589,0.2054386,0.162
0.04,0.2541444,0.2397045,0.189
0.042,0.2530081,0.2190019,0.207
0.044,0.2474452,0.1979879,0.225
0.045,0.2489426,0.2062187,0.223
0.046,0.2562613,0.2130633,0.219
0.048,0.2701655,0.2308775,0.251
0.05,0.2738044,0.249014,0.303
0.055,0.28864,0.213114,0.309
0.06,0.3156507,0.2376341,0.241
0.065,0.2810966,0.2942323,0.256
0.067,0.2833365,0.3091516,0.237
0.07,0.3172815,0.3513807,0.246
0.075,0.3422846,0.4031161,0.228
0.08,0.430266,0.3589672,0.249
0.085,0.526282,0.3407474,0.287
0.09,0.53659,0.3650459,0.315
0.095,0.4712924,0.344516,0.312
0.1,0.3865707,0.2945353,0.306
0.11,0.485478,0.3500823,0.351
0.12,0.6101189,0.3662349,0.387
0.13,0.6346785,0.2919391,0.375
0.133,0.6423486,0.2716831,0.413
0.14,0.6994296,0.2895257,0.468
0.15,0.7676989,0.362065,0.496
0.16,0.7293193,0.3682151,0.373
0.17,0.7957316,0.3710793,0.347
0.18,0.8513843,0.3756881,0.294
0.19,0.8032926,0.3670913,0.252
0.2,0.6716802,0.3795037,0.197
0.22,0.430939,0.3888065,0.198
0.24,0.4292828,0.4592207,0.213
0.25,0.3785025,0.4066669,0.188
0.26,0.3229791,0.3607167,0.161
0.28,0.253068,0.3420643,0.135
0.29,0.2283536,0.3377178,0.116
0.3,0.255265,0.3452151,0.114
0.32,0.3165773,0.368055,0.123
0.34,0.3272012,0.3688363,0.121
0.35,0.3223017,0.3631352,0.113
0.36,0.3141413,0.3565755,0.108
0.38,0.2836173,0.3347417,0.14
0.4,0.2767676,0.3348115,0.168
0.42,0.2681774,0.3190575,0.16
0.44,0.2594936,0.3090609,0.14
0.45,0.2548784,0.3268723,0.129
0.46,0.2520899,0.3329137,0.117
0.48,0.2724556,0.3310405,0.101
0.5,0.2950405,0.3472261,0.0986
0.55,0.2903752,0.2827239,0.0932
0.6,0.3234876,0.2619916,0.0987
0.65,0.2888192,0.276436,0.11
0.667,0.2629801,0.284742,0.106
0.7,0.2244781,0.2993347,0.0995
0.75,0.2180794,0.3115394,0.115
0.8,0.216445,0.3110247,0.121
0.85,0.1916686,0.3022595,0.129
0.9,0.204402,0.3279178,0.16
0.95,0.1893928,0.3287386,0.189
1.0,0.1623106,0.3106579,0.236
1.1,0.1366974,0.2704326,0.226
1.2,0.1437564,0.219007,0.191
1.3,0.1344575,0.1462804,0.132
1.4,0.1470897,0.1142278,0.103
1.5,0.1480879,0.09043289,0.0809
1.6,0.1425011,0.07633334,0.0646
1.7,0.1324072,0.07124137,0.0537
1.8,0.1259029,0.06746226,0.0433
1.9,0.1214818,0.06022094,0.0391
2.0,0.1118238,0.06045736,0.0346
2.2,0.09423105,0.04047881,0.0266
2.4,0.07236312,0.02742241,0.0213
2.5,0.06328136,0.02692588,0.0184
2.6,0.05848628,0.02632002,0.0154
2.8,0.04694217,0.02441459,0.0124
3.0,0.03642784,0.02166569,0.0111
3.2,0.0317556,0.01851717,0.00998
3.4,0.02721436,0.01539511,0.00892
3.5,0.0250229,0.01466067,0.00842
3.6,0.02290879,0.01442147,0.00793
3.8,0.01896634,0.0127403,0.00812
4.0,0.01545158,0.01179417,0.00862
4.2,0.01381653,0.01097782,0.00843
4.4,0.0131962,0.00979835,0.00761
4.6,0.01246304,0.00992948,0.0066
4.8,0.01165978,0.00875187,0.00616
5.0,0.01082273,0.00774167,0.00556
5.5,0.00876375,0.00556784,0.00417
6.0,0.00694782,0.00423107,0.00322
