
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 559
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 559, -, 1.0, -, 4.3, 19.3, 0.1, "Chalfant Valley-03", 1986, "Bishop - LADWP South St", 5.65, strike slip, 24.3, 24.41, 303.47, 0.2875, 1.0, RSN559_CHALFANT.B_C-LAD180.AT2, RSN559_CHALFANT.B_C-LAD270.AT2 , RSN559_CHALFANT.B_C-LAD-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-559 RotD50 pSa (g)
0.01,0.09470191,0.09470191,0.09470191,0.09470191
0.02,0.09528328,0.09528328,0.09528328,0.09528328
0.022,0.09539056,0.09539056,0.09539056,0.09539056
0.025,0.09552955,0.09552955,0.09552955,0.09552955
0.029,0.09521702,0.09521702,0.09521702,0.09521702
0.03,0.09528887,0.09528887,0.09528887,0.09528887
0.032,0.09561426,0.09561426,0.09561426,0.09561426
0.035,0.09670208,0.09670208,0.09670208,0.09670208
0.036,0.09705307,0.09705307,0.09705307,0.09705307
0.04,0.09881339,0.09881339,0.09881339,0.09881339
0.042,0.09912763,0.09912763,0.09912763,0.09912763
0.044,0.09941913,0.09941913,0.09941913,0.09941913
0.045,0.09903249,0.09903249,0.09903249,0.09903249
0.046,0.09823252,0.09823252,0.09823252,0.09823252
0.048,0.09934676,0.09934676,0.09934676,0.09934676
0.05,0.1000222,0.1000222,0.1000222,0.1000222
0.055,0.1023925,0.1023925,0.1023925,0.1023925
0.06,0.1022643,0.1022643,0.1022643,0.1022643
0.065,0.1184301,0.1184301,0.1184301,0.1184301
0.067,0.123245,0.123245,0.123245,0.123245
0.07,0.1357336,0.1357336,0.1357336,0.1357336
0.075,0.151083,0.151083,0.151083,0.151083
0.08,0.153077,0.153077,0.153077,0.153077
0.085,0.1516504,0.1516504,0.1516504,0.1516504
0.09,0.1670867,0.1670867,0.1670867,0.1670867
0.095,0.1891759,0.1891759,0.1891759,0.1891759
0.1,0.1935074,0.1935074,0.1935074,0.1935074
0.11,0.1565784,0.1565784,0.1565784,0.1565784
0.12,0.1822638,0.1822638,0.1822638,0.1822638
0.13,0.1925386,0.1925386,0.1925386,0.1925386
0.133,0.1887637,0.1887637,0.1887637,0.1887637
0.14,0.1701476,0.1701476,0.1701476,0.1701476
0.15,0.1786901,0.1786901,0.1786901,0.1786901
0.16,0.2023078,0.2023078,0.2023078,0.2023078
0.17,0.2482813,0.2482813,0.2482813,0.2482813
0.18,0.2841924,0.2841924,0.2841924,0.2841924
0.19,0.3182448,0.3182448,0.3182448,0.3182448
0.2,0.3523915,0.3523915,0.3523915,0.3523915
0.22,0.3701805,0.3701805,0.3701805,0.3701805
0.24,0.3401267,0.3401267,0.3401267,0.3401267
0.25,0.3029215,0.3029215,0.3029215,0.3029215
0.26,0.2616881,0.2616881,0.2616881,0.2616881
0.28,0.2149265,0.2149265,0.2149265,0.2149265
0.29,0.1932156,0.1932156,0.1932156,0.1932156
0.3,0.1737501,0.1737501,0.1737501,0.1737501
0.32,0.1616264,0.1616264,0.1616264,0.1616264
0.34,0.1660345,0.1660345,0.1660345,0.1660345
0.35,0.1638814,0.1638814,0.1638814,0.1638814
0.36,0.1567803,0.1567803,0.1567803,0.1567803
0.38,0.1559736,0.1559736,0.1559736,0.1559736
0.4,0.1453813,0.1453813,0.1453813,0.1453813
0.42,0.1335379,0.1335379,0.1335379,0.1335379
0.44,0.123198,0.123198,0.123198,0.123198
0.45,0.1185301,0.1185301,0.1185301,0.1185301
0.46,0.1159259,0.1159259,0.1159259,0.1159259
0.48,0.1075279,0.1075279,0.1075279,0.1075279
0.5,0.1044058,0.1044058,0.1044058,0.1044058
0.55,0.0933992,0.0933992,0.0933992,0.0933992
0.6,0.08507888,0.08507888,0.08507888,0.08507888
0.65,0.07843325,0.07843325,0.07843325,0.07843325
0.667,0.07682471,0.07682471,0.07682471,0.07682471
0.7,0.0738738,0.0738738,0.0738738,0.0738738
0.75,0.06819224,0.06819224,0.06819224,0.06819224
0.8,0.06102793,0.06102793,0.06102793,0.06102793
0.85,0.05383419,0.05383419,0.05383419,0.05383419
0.9,0.04740581,0.04740581,0.04740581,0.04740581
0.95,0.04193732,0.04193732,0.04193732,0.04193732
1.0,0.03869029,0.03869029,0.03869029,0.03869029
1.1,0.04505732,0.04505732,0.04505732,0.04505732
1.2,0.04555486,0.04555486,0.04555486,0.04555486
1.3,0.03756668,0.03756668,0.03756668,0.03756668
1.4,0.03441462,0.03441462,0.03441462,0.03441462
1.5,0.03215846,0.03215846,0.03215846,0.03215846
1.6,0.02418642,0.02418642,0.02418642,0.02418642
1.7,0.01825958,0.01825958,0.01825958,0.01825958
1.8,0.01646932,0.01646932,0.01646932,0.01646932
1.9,0.01637654,0.01637654,0.01637654,0.01637654
2.0,0.0148149,0.0148149,0.0148149,0.0148149
2.2,0.01126648,0.01126648,0.01126648,0.01126648
2.4,0.00925101,0.00925101,0.00925101,0.00925101
2.5,0.00866475,0.00866475,0.00866475,0.00866475
2.6,0.00837492,0.00837492,0.00837492,0.00837492
2.8,0.00655815,0.00655815,0.00655815,0.00655815
3.0,0.00587052,0.00587052,0.00587052,0.00587052
3.2,0.00545226,0.00545226,0.00545226,0.00545226
3.4,0.00489964,0.00489964,0.00489964,0.00489964
3.5,0.0044281,0.0044281,0.0044281,0.0044281
3.6,0.00401456,0.00401456,0.00401456,0.00401456
3.8,0.00377366,0.00377366,0.00377366,0.00377366
4.0,0.00340396,0.00340396,0.00340396,0.00340396
4.2,0.00300143,0.00300143,0.00300143,0.00300143
4.4,0.00257875,0.00257875,0.00257875,0.00257875
4.6,0.00223131,0.00223131,0.00223131,0.00223131
4.8,0.00222339,0.00222339,0.00222339,0.00222339
5.0,0.00209366,0.00209366,0.00209366,0.00209366
5.5,0.0015545,0.0015545,0.0015545,0.0015545
6.0,0.00118667,0.00118667,0.00118667,0.00118667
6.5,0.00094883,0.00094883,0.00094883,0.00094883
7.0,0.00078976,0.00078976,0.00078976,0.00078976
7.5,0.00066788,0.00066788,0.00066788,0.00066788
8.0,0.00058119,0.00058119,0.00058119,0.00058119
8.5,0.00048876,0.00048876,0.00048876,0.00048876
9.0,0.0004203,0.0004203,0.0004203,0.0004203
9.5,0.00036793,0.00036793,0.00036793,0.00036793
