
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 562
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 562, -, 1.0, -, 3.6, 16.2, 0.2, "Chalfant Valley-04", 1986, "Bishop - LADWP South St", 5.44, strike slip, 23.99, 24.75, 303.47, 0.1625, 1.0, RSN562_CHALFANT.B_D-LAD180.AT2, RSN562_CHALFANT.B_D-LAD270.AT2 , RSN562_CHALFANT.B_D-LAD-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-562 RotD50 pSa (g)
0.01,0.1541343,0.1541343,0.1541343,0.1541343
0.02,0.1546295,0.1546295,0.1546295,0.1546295
0.022,0.1549373,0.1549373,0.1549373,0.1549373
0.025,0.1551723,0.1551723,0.1551723,0.1551723
0.029,0.1552293,0.1552293,0.1552293,0.1552293
0.03,0.1551551,0.1551551,0.1551551,0.1551551
0.032,0.1554942,0.1554942,0.1554942,0.1554942
0.035,0.1563546,0.1563546,0.1563546,0.1563546
0.036,0.1569199,0.1569199,0.1569199,0.1569199
0.04,0.1618208,0.1618208,0.1618208,0.1618208
0.042,0.1640257,0.1640257,0.1640257,0.1640257
0.044,0.1628811,0.1628811,0.1628811,0.1628811
0.045,0.1622703,0.1622703,0.1622703,0.1622703
0.046,0.1619336,0.1619336,0.1619336,0.1619336
0.048,0.160518,0.160518,0.160518,0.160518
0.05,0.1640424,0.1640424,0.1640424,0.1640424
0.055,0.1677601,0.1677601,0.1677601,0.1677601
0.06,0.1792082,0.1792082,0.1792082,0.1792082
0.065,0.2155313,0.2155313,0.2155313,0.2155313
0.067,0.2250966,0.2250966,0.2250966,0.2250966
0.07,0.2279305,0.2279305,0.2279305,0.2279305
0.075,0.2709505,0.2709505,0.2709505,0.2709505
0.08,0.2882773,0.2882773,0.2882773,0.2882773
0.085,0.2767909,0.2767909,0.2767909,0.2767909
0.09,0.2579395,0.2579395,0.2579395,0.2579395
0.095,0.3015558,0.3015558,0.3015558,0.3015558
0.1,0.3577581,0.3577581,0.3577581,0.3577581
0.11,0.3296281,0.3296281,0.3296281,0.3296281
0.12,0.2929423,0.2929423,0.2929423,0.2929423
0.13,0.2764145,0.2764145,0.2764145,0.2764145
0.133,0.2588736,0.2588736,0.2588736,0.2588736
0.14,0.253151,0.253151,0.253151,0.253151
0.15,0.2630962,0.2630962,0.2630962,0.2630962
0.16,0.2713192,0.2713192,0.2713192,0.2713192
0.17,0.2871115,0.2871115,0.2871115,0.2871115
0.18,0.2868549,0.2868549,0.2868549,0.2868549
0.19,0.2967777,0.2967777,0.2967777,0.2967777
0.2,0.2978662,0.2978662,0.2978662,0.2978662
0.22,0.3879671,0.3879671,0.3879671,0.3879671
0.24,0.3962827,0.3962827,0.3962827,0.3962827
0.25,0.3785805,0.3785805,0.3785805,0.3785805
0.26,0.3782373,0.3782373,0.3782373,0.3782373
0.28,0.3669255,0.3669255,0.3669255,0.3669255
0.29,0.3521772,0.3521772,0.3521772,0.3521772
0.3,0.3446399,0.3446399,0.3446399,0.3446399
0.32,0.3356405,0.3356405,0.3356405,0.3356405
0.34,0.3470365,0.3470365,0.3470365,0.3470365
0.35,0.3638408,0.3638408,0.3638408,0.3638408
0.36,0.3799329,0.3799329,0.3799329,0.3799329
0.38,0.3972732,0.3972732,0.3972732,0.3972732
0.4,0.3820075,0.3820075,0.3820075,0.3820075
0.42,0.3734922,0.3734922,0.3734922,0.3734922
0.44,0.3536829,0.3536829,0.3536829,0.3536829
0.45,0.3484967,0.3484967,0.3484967,0.3484967
0.46,0.3422137,0.3422137,0.3422137,0.3422137
0.48,0.3275858,0.3275858,0.3275858,0.3275858
0.5,0.3112297,0.3112297,0.3112297,0.3112297
0.55,0.2677104,0.2677104,0.2677104,0.2677104
0.6,0.2250566,0.2250566,0.2250566,0.2250566
0.65,0.1892089,0.1892089,0.1892089,0.1892089
0.667,0.1793007,0.1793007,0.1793007,0.1793007
0.7,0.1652959,0.1652959,0.1652959,0.1652959
0.75,0.1507224,0.1507224,0.1507224,0.1507224
0.8,0.133455,0.133455,0.133455,0.133455
0.85,0.115963,0.115963,0.115963,0.115963
0.9,0.1089137,0.1089137,0.1089137,0.1089137
0.95,0.09670182,0.09670182,0.09670182,0.09670182
1.0,0.08900452,0.08900452,0.08900452,0.08900452
1.1,0.0748551,0.0748551,0.0748551,0.0748551
