
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 585
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 585, -, 1.0, -, 1.5, 4.2, 3.6, "Baja California", 1987, "Cerro Prieto", 5.5, strike slip, 3.43, 4.46, 471.53, 0.1625, 1.0, RSN585_BAJA_CPE161.AT2, RSN585_BAJA_CPE251.AT2 , RSN585_BAJA_CPE-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-585 RotD50 pSa (g)
0.01,1.162819,1.162819,1.162819,1.162819
0.02,1.39964,1.39964,1.39964,1.39964
0.022,1.478271,1.478271,1.478271,1.478271
0.025,1.512945,1.512945,1.512945,1.512945
0.029,1.578101,1.578101,1.578101,1.578101
0.03,1.616412,1.616412,1.616412,1.616412
0.032,1.665342,1.665342,1.665342,1.665342
0.035,1.788666,1.788666,1.788666,1.788666
0.036,1.806116,1.806116,1.806116,1.806116
0.04,1.8755,1.8755,1.8755,1.8755
0.042,1.908558,1.908558,1.908558,1.908558
0.044,1.938329,1.938329,1.938329,1.938329
0.045,1.936413,1.936413,1.936413,1.936413
0.046,1.909138,1.909138,1.909138,1.909138
0.048,1.801688,1.801688,1.801688,1.801688
0.05,1.82154,1.82154,1.82154,1.82154
0.055,1.848681,1.848681,1.848681,1.848681
0.06,2.00883,2.00883,2.00883,2.00883
0.065,2.137409,2.137409,2.137409,2.137409
0.067,2.190723,2.190723,2.190723,2.190723
0.07,2.270551,2.270551,2.270551,2.270551
0.075,2.308039,2.308039,2.308039,2.308039
0.08,2.171272,2.171272,2.171272,2.171272
0.085,2.2631,2.2631,2.2631,2.2631
0.09,2.366784,2.366784,2.366784,2.366784
0.095,2.386336,2.386336,2.386336,2.386336
0.1,2.275266,2.275266,2.275266,2.275266
0.11,2.459659,2.459659,2.459659,2.459659
0.12,2.847516,2.847516,2.847516,2.847516
0.13,2.607519,2.607519,2.607519,2.607519
0.133,2.543429,2.543429,2.543429,2.543429
0.14,2.465838,2.465838,2.465838,2.465838
0.15,2.182699,2.182699,2.182699,2.182699
0.16,1.872145,1.872145,1.872145,1.872145
0.17,1.853019,1.853019,1.853019,1.853019
0.18,1.696339,1.696339,1.696339,1.696339
0.19,1.508803,1.508803,1.508803,1.508803
0.2,1.517705,1.517705,1.517705,1.517705
0.22,1.655139,1.655139,1.655139,1.655139
0.24,1.395205,1.395205,1.395205,1.395205
0.25,1.243671,1.243671,1.243671,1.243671
0.26,1.218924,1.218924,1.218924,1.218924
0.28,1.375764,1.375764,1.375764,1.375764
0.29,1.318912,1.318912,1.318912,1.318912
0.3,1.335133,1.335133,1.335133,1.335133
0.32,1.336574,1.336574,1.336574,1.336574
0.34,1.297775,1.297775,1.297775,1.297775
0.35,1.321883,1.321883,1.321883,1.321883
0.36,1.31789,1.31789,1.31789,1.31789
0.38,1.271491,1.271491,1.271491,1.271491
0.4,1.301219,1.301219,1.301219,1.301219
0.42,1.25054,1.25054,1.25054,1.25054
0.44,1.152941,1.152941,1.152941,1.152941
0.45,1.090202,1.090202,1.090202,1.090202
0.46,1.025837,1.025837,1.025837,1.025837
0.48,1.022321,1.022321,1.022321,1.022321
0.5,1.044327,1.044327,1.044327,1.044327
0.55,0.9328257,0.9328257,0.9328257,0.9328257
0.6,1.048718,1.048718,1.048718,1.048718
0.65,1.171163,1.171163,1.171163,1.171163
0.667,1.147705,1.147705,1.147705,1.147705
0.7,1.156897,1.156897,1.156897,1.156897
0.75,1.054583,1.054583,1.054583,1.054583
0.8,0.8724035,0.8724035,0.8724035,0.8724035
0.85,0.6820055,0.6820055,0.6820055,0.6820055
0.9,0.5840594,0.5840594,0.5840594,0.5840594
0.95,0.5331177,0.5331177,0.5331177,0.5331177
1.0,0.497785,0.497785,0.497785,0.497785
1.1,0.4847638,0.4847638,0.4847638,0.4847638
1.2,0.4511096,0.4511096,0.4511096,0.4511096
1.3,0.4834513,0.4834513,0.4834513,0.4834513
1.4,0.4465499,0.4465499,0.4465499,0.4465499
1.5,0.3936026,0.3936026,0.3936026,0.3936026
1.6,0.3378947,0.3378947,0.3378947,0.3378947
1.7,0.2943277,0.2943277,0.2943277,0.2943277
1.8,0.2632115,0.2632115,0.2632115,0.2632115
1.9,0.230553,0.230553,0.230553,0.230553
2.0,0.1978798,0.1978798,0.1978798,0.1978798
2.2,0.1413351,0.1413351,0.1413351,0.1413351
2.4,0.1118931,0.1118931,0.1118931,0.1118931
2.5,0.1024212,0.1024212,0.1024212,0.1024212
2.6,0.09708293,0.09708293,0.09708293,0.09708293
2.8,0.08611604,0.08611604,0.08611604,0.08611604
3.0,0.07544881,0.07544881,0.07544881,0.07544881
3.2,0.06624859,0.06624859,0.06624859,0.06624859
3.4,0.06010431,0.06010431,0.06010431,0.06010431
3.5,0.05664918,0.05664918,0.05664918,0.05664918
3.6,0.05312657,0.05312657,0.05312657,0.05312657
3.8,0.04666347,0.04666347,0.04666347,0.04666347
4.0,0.04243613,0.04243613,0.04243613,0.04243613
4.2,0.0374748,0.0374748,0.0374748,0.0374748
