
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 589
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 589, -, 1.0, -, 2.3, 5.7, 0.9, "Whittier Narrows-01", 1987, "Alhambra - Fremont School", 5.99, Reverse Oblique, 1.67, 14.66, 549.75, 0.4125, 1.0, RSN589_WHITTIER.A_A-ALH180.AT2, RSN589_WHITTIER.A_A-ALH270.AT2 , RSN589_WHITTIER.A_A-ALH-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-589 RotD50 pSa (g)
0.01,0.3132195,0.3132195,0.3132195,0.3132195
0.02,0.3250715,0.3250715,0.3250715,0.3250715
0.022,0.324689,0.324689,0.324689,0.324689
0.025,0.32736,0.32736,0.32736,0.32736
0.029,0.3371019,0.3371019,0.3371019,0.3371019
0.03,0.3430984,0.3430984,0.3430984,0.3430984
0.032,0.3603941,0.3603941,0.3603941,0.3603941
0.035,0.3825887,0.3825887,0.3825887,0.3825887
0.036,0.3819789,0.3819789,0.3819789,0.3819789
0.04,0.3989366,0.3989366,0.3989366,0.3989366
0.042,0.3873985,0.3873985,0.3873985,0.3873985
0.044,0.391968,0.391968,0.391968,0.391968
0.045,0.397133,0.397133,0.397133,0.397133
0.046,0.4011323,0.4011323,0.4011323,0.4011323
0.048,0.4053872,0.4053872,0.4053872,0.4053872
0.05,0.4053428,0.4053428,0.4053428,0.4053428
0.055,0.4223723,0.4223723,0.4223723,0.4223723
0.06,0.5062432,0.5062432,0.5062432,0.5062432
0.065,0.4638179,0.4638179,0.4638179,0.4638179
0.067,0.4776321,0.4776321,0.4776321,0.4776321
0.07,0.5231643,0.5231643,0.5231643,0.5231643
0.075,0.5955366,0.5955366,0.5955366,0.5955366
0.08,0.5594501,0.5594501,0.5594501,0.5594501
0.085,0.6609008,0.6609008,0.6609008,0.6609008
0.09,0.6395097,0.6395097,0.6395097,0.6395097
0.095,0.6742084,0.6742084,0.6742084,0.6742084
0.1,0.7371723,0.7371723,0.7371723,0.7371723
0.11,0.905502,0.905502,0.905502,0.905502
0.12,0.8418088,0.8418088,0.8418088,0.8418088
0.13,0.8077517,0.8077517,0.8077517,0.8077517
0.133,0.7869539,0.7869539,0.7869539,0.7869539
0.14,0.947964,0.947964,0.947964,0.947964
0.15,1.056216,1.056216,1.056216,1.056216
0.16,0.913438,0.913438,0.913438,0.913438
0.17,0.7962024,0.7962024,0.7962024,0.7962024
0.18,0.7078826,0.7078826,0.7078826,0.7078826
0.19,0.6975607,0.6975607,0.6975607,0.6975607
0.2,0.7817813,0.7817813,0.7817813,0.7817813
0.22,1.032962,1.032962,1.032962,1.032962
0.24,1.132674,1.132674,1.132674,1.132674
0.25,0.9813058,0.9813058,0.9813058,0.9813058
0.26,0.8486103,0.8486103,0.8486103,0.8486103
0.28,0.7145278,0.7145278,0.7145278,0.7145278
0.29,0.6947074,0.6947074,0.6947074,0.6947074
0.3,0.694684,0.694684,0.694684,0.694684
0.32,0.7012456,0.7012456,0.7012456,0.7012456
0.34,0.6952851,0.6952851,0.6952851,0.6952851
0.35,0.6852349,0.6852349,0.6852349,0.6852349
0.36,0.7247922,0.7247922,0.7247922,0.7247922
0.38,0.7342571,0.7342571,0.7342571,0.7342571
0.4,0.6264644,0.6264644,0.6264644,0.6264644
0.42,0.6803985,0.6803985,0.6803985,0.6803985
0.44,0.6076385,0.6076385,0.6076385,0.6076385
0.45,0.5519824,0.5519824,0.5519824,0.5519824
0.46,0.4947422,0.4947422,0.4947422,0.4947422
0.48,0.3842237,0.3842237,0.3842237,0.3842237
0.5,0.3427347,0.3427347,0.3427347,0.3427347
0.55,0.390232,0.390232,0.390232,0.390232
0.6,0.3788015,0.3788015,0.3788015,0.3788015
0.65,0.3131558,0.3131558,0.3131558,0.3131558
0.667,0.3179358,0.3179358,0.3179358,0.3179358
0.7,0.3540611,0.3540611,0.3540611,0.3540611
0.75,0.3827597,0.3827597,0.3827597,0.3827597
0.8,0.3686489,0.3686489,0.3686489,0.3686489
0.85,0.361465,0.361465,0.361465,0.361465
0.9,0.3303989,0.3303989,0.3303989,0.3303989
0.95,0.300908,0.300908,0.300908,0.300908
1.0,0.2836292,0.2836292,0.2836292,0.2836292
1.1,0.2477678,0.2477678,0.2477678,0.2477678
1.2,0.20688,0.20688,0.20688,0.20688
1.3,0.1620467,0.1620467,0.1620467,0.1620467
1.4,0.1364445,0.1364445,0.1364445,0.1364445
1.5,0.118282,0.118282,0.118282,0.118282
1.6,0.100099,0.100099,0.100099,0.100099
1.7,0.08439942,0.08439942,0.08439942,0.08439942
1.8,0.06889553,0.06889553,0.06889553,0.06889553
1.9,0.05622571,0.05622571,0.05622571,0.05622571
2.0,0.04737259,0.04737259,0.04737259,0.04737259
2.2,0.03748821,0.03748821,0.03748821,0.03748821
2.4,0.02916896,0.02916896,0.02916896,0.02916896
2.5,0.02562095,0.02562095,0.02562095,0.02562095
2.6,0.02264303,0.02264303,0.02264303,0.02264303
2.8,0.0176812,0.0176812,0.0176812,0.0176812
3.0,0.01476539,0.01476539,0.01476539,0.01476539
3.2,0.01219483,0.01219483,0.01219483,0.01219483
3.4,0.01042918,0.01042918,0.01042918,0.01042918
3.5,0.00986258,0.00986258,0.00986258,0.00986258
3.6,0.00930276,0.00930276,0.00930276,0.00930276
3.8,0.00828578,0.00828578,0.00828578,0.00828578
4.0,0.00737773,0.00737773,0.00737773,0.00737773
4.2,0.00692143,0.00692143,0.00692143,0.00692143
4.4,0.00638072,0.00638072,0.00638072,0.00638072
4.6,0.00582442,0.00582442,0.00582442,0.00582442
4.8,0.00528774,0.00528774,0.00528774,0.00528774
5.0,0.00479593,0.00479593,0.00479593,0.00479593
5.5,0.00376368,0.00376368,0.00376368,0.00376368
6.0,0.00302061,0.00302061,0.00302061,0.00302061
6.5,0.00258042,0.00258042,0.00258042,0.00258042
7.0,0.00221019,0.00221019,0.00221019,0.00221019
7.5,0.00190176,0.00190176,0.00190176,0.00190176
8.0,0.00164579,0.00164579,0.00164579,0.00164579
8.5,0.00143318,0.00143318,0.00143318,0.00143318
9.0,0.00125598,0.00125598,0.00125598,0.00125598
9.5,0.00110763,0.00110763,0.00110763,0.00110763
10.0,0.00098266,0.00098266,0.00098266,0.00098266
11.0,0.00078648,0.00078648,0.00078648,0.00078648
12.0,0.0006422,0.0006422,0.0006422,0.0006422
13.0,0.00053453,0.00053453,0.00053453,0.00053453
