
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 707
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 707, -, 1.0, -, 1.7, 7.8, 0.2, "Whittier Narrows-02", 1987, "Alhambra - Fremont School", 5.27, Reverse Oblique, 3.63, 12.01, 549.75, 0.4375, 1.0, RSN707_WHITTIER.B_B-ALH180.AT2, RSN707_WHITTIER.B_B-ALH270.AT2 , RSN707_WHITTIER.B_B-ALH-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-707 RotD50 pSa (g)
0.01,0.1944297,0.1944297,0.1944297,0.1944297
0.02,0.1967791,0.1967791,0.1967791,0.1967791
0.022,0.1952668,0.1952668,0.1952668,0.1952668
0.025,0.198801,0.198801,0.198801,0.198801
0.029,0.2019244,0.2019244,0.2019244,0.2019244
0.03,0.2027733,0.2027733,0.2027733,0.2027733
0.032,0.1991116,0.1991116,0.1991116,0.1991116
0.035,0.2190219,0.2190219,0.2190219,0.2190219
0.036,0.2174136,0.2174136,0.2174136,0.2174136
0.04,0.2438599,0.2438599,0.2438599,0.2438599
0.042,0.2549809,0.2549809,0.2549809,0.2549809
0.044,0.2455992,0.2455992,0.2455992,0.2455992
0.045,0.245311,0.245311,0.245311,0.245311
0.046,0.2399267,0.2399267,0.2399267,0.2399267
0.048,0.2409203,0.2409203,0.2409203,0.2409203
0.05,0.2629837,0.2629837,0.2629837,0.2629837
0.055,0.281501,0.281501,0.281501,0.281501
0.06,0.2968571,0.2968571,0.2968571,0.2968571
0.065,0.2843578,0.2843578,0.2843578,0.2843578
0.067,0.2864252,0.2864252,0.2864252,0.2864252
0.07,0.2916813,0.2916813,0.2916813,0.2916813
0.075,0.2928446,0.2928446,0.2928446,0.2928446
0.08,0.2845282,0.2845282,0.2845282,0.2845282
0.085,0.2967099,0.2967099,0.2967099,0.2967099
0.09,0.3269597,0.3269597,0.3269597,0.3269597
0.095,0.3631753,0.3631753,0.3631753,0.3631753
0.1,0.3820525,0.3820525,0.3820525,0.3820525
0.11,0.3833866,0.3833866,0.3833866,0.3833866
0.12,0.3747914,0.3747914,0.3747914,0.3747914
0.13,0.4174834,0.4174834,0.4174834,0.4174834
0.133,0.4168286,0.4168286,0.4168286,0.4168286
0.14,0.4371682,0.4371682,0.4371682,0.4371682
0.15,0.4785613,0.4785613,0.4785613,0.4785613
0.16,0.4752008,0.4752008,0.4752008,0.4752008
0.17,0.4547004,0.4547004,0.4547004,0.4547004
0.18,0.4554726,0.4554726,0.4554726,0.4554726
0.19,0.4577349,0.4577349,0.4577349,0.4577349
0.2,0.468808,0.468808,0.468808,0.468808
0.22,0.5482317,0.5482317,0.5482317,0.5482317
0.24,0.6379824,0.6379824,0.6379824,0.6379824
