
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 718
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 718, -, 1.0, -, 7.3, 15.2, 0.3, "Superstition Hills-01", 1987, "Imperial Valley Wildlife Liquefaction Array", 6.22, strike slip, 17.59, 17.59, 179.0, 0.25, 1.0, RSN718_SUPER.A_A-IVW090.AT2, RSN718_SUPER.A_A-IVW360.AT2 , RSN718_SUPER.A_A-IVW-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-718 RotD50 pSa (g)
0.01,0.1327047,0.1327047,0.1327047,0.1327047
0.02,0.1367514,0.1367514,0.1367514,0.1367514
0.022,0.1349266,0.1349266,0.1349266,0.1349266
0.025,0.1367564,0.1367564,0.1367564,0.1367564
0.029,0.1379372,0.1379372,0.1379372,0.1379372
0.03,0.1406925,0.1406925,0.1406925,0.1406925
0.032,0.1397269,0.1397269,0.1397269,0.1397269
0.035,0.1547497,0.1547497,0.1547497,0.1547497
0.036,0.1585581,0.1585581,0.1585581,0.1585581
0.04,0.1568304,0.1568304,0.1568304,0.1568304
0.042,0.1645752,0.1645752,0.1645752,0.1645752
0.044,0.1810401,0.1810401,0.1810401,0.1810401
0.045,0.1865213,0.1865213,0.1865213,0.1865213
0.046,0.1923672,0.1923672,0.1923672,0.1923672
0.048,0.1943958,0.1943958,0.1943958,0.1943958
0.05,0.196193,0.196193,0.196193,0.196193
0.055,0.1971809,0.1971809,0.1971809,0.1971809
0.06,0.2306276,0.2306276,0.2306276,0.2306276
0.065,0.2355943,0.2355943,0.2355943,0.2355943
0.067,0.2412698,0.2412698,0.2412698,0.2412698
0.07,0.2388475,0.2388475,0.2388475,0.2388475
0.075,0.2655168,0.2655168,0.2655168,0.2655168
0.08,0.3195796,0.3195796,0.3195796,0.3195796
0.085,0.3545755,0.3545755,0.3545755,0.3545755
0.09,0.3959163,0.3959163,0.3959163,0.3959163
0.095,0.3911268,0.3911268,0.3911268,0.3911268
0.1,0.3587993,0.3587993,0.3587993,0.3587993
0.11,0.4269374,0.4269374,0.4269374,0.4269374
0.12,0.4196188,0.4196188,0.4196188,0.4196188
0.13,0.3700266,0.3700266,0.3700266,0.3700266
0.133,0.3944909,0.3944909,0.3944909,0.3944909
0.14,0.4188892,0.4188892,0.4188892,0.4188892
0.15,0.5032668,0.5032668,0.5032668,0.5032668
0.16,0.5438728,0.5438728,0.5438728,0.5438728
0.17,0.4417146,0.4417146,0.4417146,0.4417146
0.18,0.3439644,0.3439644,0.3439644,0.3439644
0.19,0.3097777,0.3097777,0.3097777,0.3097777
0.2,0.3218663,0.3218663,0.3218663,0.3218663
0.22,0.280679,0.280679,0.280679,0.280679
