
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 719
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 719, -, 1.0, -, 10.6, 14.3, 0.3, "Superstition Hills-02", 1987, "Brawley Airport", 6.54, strike slip, 17.03, 17.03, 208.71, 0.25, 1.0, RSN719_SUPER.B_B-BRA225.AT2, RSN719_SUPER.B_B-BRA315.AT2 ,  -----   

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-719 RotD50 pSa (g)
0.01,0.1279541,0.1279541,0.1279541,0.1279541
0.02,0.1299639,0.1299639,0.1299639,0.1299639
0.022,0.1308582,0.1308582,0.1308582,0.1308582
0.025,0.1323346,0.1323346,0.1323346,0.1323346
0.029,0.136885,0.136885,0.136885,0.136885
0.03,0.1384259,0.1384259,0.1384259,0.1384259
0.032,0.1408281,0.1408281,0.1408281,0.1408281
0.035,0.1399592,0.1399592,0.1399592,0.1399592
0.036,0.1428738,0.1428738,0.1428738,0.1428738
0.04,0.1537553,0.1537553,0.1537553,0.1537553
0.042,0.156287,0.156287,0.156287,0.156287
0.044,0.1566699,0.1566699,0.1566699,0.1566699
0.045,0.1575972,0.1575972,0.1575972,0.1575972
0.046,0.1594839,0.1594839,0.1594839,0.1594839
0.048,0.1637886,0.1637886,0.1637886,0.1637886
0.05,0.1680018,0.1680018,0.1680018,0.1680018
0.055,0.1828687,0.1828687,0.1828687,0.1828687
0.06,0.1981043,0.1981043,0.1981043,0.1981043
0.065,0.2385226,0.2385226,0.2385226,0.2385226
0.067,0.2616542,0.2616542,0.2616542,0.2616542
0.07,0.2772392,0.2772392,0.2772392,0.2772392
0.075,0.2817237,0.2817237,0.2817237,0.2817237
0.08,0.3021603,0.3021603,0.3021603,0.3021603
0.085,0.3457336,0.3457336,0.3457336,0.3457336
0.09,0.3825839,0.3825839,0.3825839,0.3825839
0.095,0.3834656,0.3834656,0.3834656,0.3834656
0.1,0.3832566,0.3832566,0.3832566,0.3832566
0.11,0.3381235,0.3381235,0.3381235,0.3381235
0.12,0.2920622,0.2920622,0.2920622,0.2920622
0.13,0.2758166,0.2758166,0.2758166,0.2758166
0.133,0.2797946,0.2797946,0.2797946,0.2797946
0.14,0.2752928,0.2752928,0.2752928,0.2752928
0.15,0.2965384,0.2965384,0.2965384,0.2965384
0.16,0.2830783,0.2830783,0.2830783,0.2830783
0.17,0.2630307,0.2630307,0.2630307,0.2630307
0.18,0.271325,0.271325,0.271325,0.271325
0.19,0.261292,0.261292,0.261292,0.261292
0.2,0.2358596,0.2358596,0.2358596,0.2358596
