
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 731
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 731, -, 1.0, -, 8.3, 16.5, 0.3, "Loma Prieta", 1989, "APEEL 10 - Skyline", 6.93, Reverse Oblique, 41.71, 41.88, 391.91, 0.1, 1.0, RSN731_LOMAP_A10000.AT2, RSN731_LOMAP_A10090.AT2 , RSN731_LOMAP_A10-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-731 RotD50 pSa (g)
0.01,0.09394545,0.09394545,0.09394545,0.09394545
0.02,0.09406838,0.09406838,0.09406838,0.09406838
0.022,0.09408879,0.09408879,0.09408879,0.09408879
0.025,0.09414133,0.09414133,0.09414133,0.09414133
0.029,0.09417681,0.09417681,0.09417681,0.09417681
0.03,0.09420984,0.09420984,0.09420984,0.09420984
0.032,0.09436047,0.09436047,0.09436047,0.09436047
0.035,0.09420434,0.09420434,0.09420434,0.09420434
0.036,0.09421881,0.09421881,0.09421881,0.09421881
0.04,0.09470245,0.09470245,0.09470245,0.09470245
0.042,0.09521727,0.09521727,0.09521727,0.09521727
0.044,0.09516704,0.09516704,0.09516704,0.09516704
0.045,0.09530635,0.09530635,0.09530635,0.09530635
0.046,0.09542903,0.09542903,0.09542903,0.09542903
0.048,0.09541561,0.09541561,0.09541561,0.09541561
0.05,0.09630445,0.09630445,0.09630445,0.09630445
0.055,0.09919259,0.09919259,0.09919259,0.09919259
0.06,0.0984365,0.0984365,0.0984365,0.0984365
0.065,0.09621888,0.09621888,0.09621888,0.09621888
0.067,0.09680522,0.09680522,0.09680522,0.09680522
0.07,0.09732572,0.09732572,0.09732572,0.09732572
0.075,0.09941001,0.09941001,0.09941001,0.09941001
0.08,0.1028827,0.1028827,0.1028827,0.1028827
0.085,0.1058476,0.1058476,0.1058476,0.1058476
0.09,0.1090229,0.1090229,0.1090229,0.1090229
0.095,0.1113428,0.1113428,0.1113428,0.1113428
0.1,0.1122999,0.1122999,0.1122999,0.1122999
0.11,0.1077886,0.1077886,0.1077886,0.1077886
0.12,0.1079924,0.1079924,0.1079924,0.1079924
0.13,0.1138665,0.1138665,0.1138665,0.1138665
0.133,0.1135448,0.1135448,0.1135448,0.1135448
0.14,0.1273116,0.1273116,0.1273116,0.1273116
0.15,0.1340635,0.1340635,0.1340635,0.1340635
0.16,0.1258649,0.1258649,0.1258649,0.1258649
0.17,0.1242563,0.1242563,0.1242563,0.1242563
0.18,0.142934,0.142934,0.142934,0.142934
0.19,0.151052,0.151052,0.151052,0.151052
0.2,0.1509862,0.1509862,0.1509862,0.1509862
0.22,0.2048818,0.2048818,0.2048818,0.2048818
