
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 825
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 825, -, 1.0, -, 2.9, 9.7, 6.0, "Cape Mendocino", 1992, "Cape Mendocino", 7.01, Reverse, 0.0, 6.96, 567.78, 0.07, 1.0, RSN825_CAPEMEND_CPM000.AT2, RSN825_CAPEMEND_CPM090.AT2 , RSN825_CAPEMEND_CPM-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-825 RotD50 pSa (g)
0.01,1.435191,1.435191,1.435191,1.435191
0.02,1.437064,1.437064,1.437064,1.437064
0.022,1.530851,1.530851,1.530851,1.530851
0.025,1.664244,1.664244,1.664244,1.664244
0.029,1.713801,1.713801,1.713801,1.713801
0.03,1.694132,1.694132,1.694132,1.694132
0.032,1.696609,1.696609,1.696609,1.696609
0.035,1.667623,1.667623,1.667623,1.667623
0.036,1.680838,1.680838,1.680838,1.680838
0.04,1.699811,1.699811,1.699811,1.699811
0.042,1.802497,1.802497,1.802497,1.802497
0.044,1.915467,1.915467,1.915467,1.915467
0.045,1.940759,1.940759,1.940759,1.940759
0.046,1.959786,1.959786,1.959786,1.959786
0.048,2.008487,2.008487,2.008487,2.008487
0.05,2.032369,2.032369,2.032369,2.032369
0.055,2.113476,2.113476,2.113476,2.113476
0.06,2.243017,2.243017,2.243017,2.243017
0.065,2.32234,2.32234,2.32234,2.32234
0.067,2.344254,2.344254,2.344254,2.344254
0.07,2.321672,2.321672,2.321672,2.321672
0.075,2.275275,2.275275,2.275275,2.275275
0.08,2.37033,2.37033,2.37033,2.37033
0.085,2.493405,2.493405,2.493405,2.493405
0.09,2.489412,2.489412,2.489412,2.489412
0.095,2.446947,2.446947,2.446947,2.446947
0.1,2.359426,2.359426,2.359426,2.359426
0.11,2.303362,2.303362,2.303362,2.303362
0.12,2.512899,2.512899,2.512899,2.512899
0.13,2.628179,2.628179,2.628179,2.628179
0.133,2.666172,2.666172,2.666172,2.666172
0.14,2.616482,2.616482,2.616482,2.616482
0.15,2.564997,2.564997,2.564997,2.564997
0.16,2.360851,2.360851,2.360851,2.360851
0.17,2.161967,2.161967,2.161967,2.161967
0.18,2.122808,2.122808,2.122808,2.122808
0.19,2.03617,2.03617,2.03617,2.03617
0.2,2.014642,2.014642,2.014642,2.014642
0.22,2.232229,2.232229,2.232229,2.232229
0.24,2.360238,2.360238,2.360238,2.360238
0.25,2.449572,2.449572,2.449572,2.449572
0.26,2.470829,2.470829,2.470829,2.470829
0.28,2.369882,2.369882,2.369882,2.369882
0.29,2.222647,2.222647,2.222647,2.222647
0.3,2.062606,2.062606,2.062606,2.062606
0.32,1.886191,1.886191,1.886191,1.886191
0.34,1.664751,1.664751,1.664751,1.664751
0.35,1.543689,1.543689,1.543689,1.543689
0.36,1.434696,1.434696,1.434696,1.434696
0.38,1.267883,1.267883,1.267883,1.267883
0.4,1.106196,1.106196,1.106196,1.106196
0.42,0.9865736,0.9865736,0.9865736,0.9865736
0.44,1.037498,1.037498,1.037498,1.037498
0.45,1.078925,1.078925,1.078925,1.078925
0.46,1.115517,1.115517,1.115517,1.115517
0.48,1.147655,1.147655,1.147655,1.147655
0.5,1.108193,1.108193,1.108193,1.108193
0.55,0.8873635,0.8873635,0.8873635,0.8873635
0.6,0.8694246,0.8694246,0.8694246,0.8694246
0.65,0.8780143,0.8780143,0.8780143,0.8780143
0.667,0.8606704,0.8606704,0.8606704,0.8606704
0.7,0.8239987,0.8239987,0.8239987,0.8239987
0.75,0.7502665,0.7502665,0.7502665,0.7502665
0.8,0.7033429,0.7033429,0.7033429,0.7033429
0.85,0.6698402,0.6698402,0.6698402,0.6698402
0.9,0.6434323,0.6434323,0.6434323,0.6434323
0.95,0.6298124,0.6298124,0.6298124,0.6298124
1.0,0.6049563,0.6049563,0.6049563,0.6049563
1.1,0.5352337,0.5352337,0.5352337,0.5352337
1.2,0.4650482,0.4650482,0.4650482,0.4650482
1.3,0.4044364,0.4044364,0.4044364,0.4044364
1.4,0.3719328,0.3719328,0.3719328,0.3719328
1.5,0.3411494,0.3411494,0.3411494,0.3411494
1.6,0.310503,0.310503,0.310503,0.310503
1.7,0.2878229,0.2878229,0.2878229,0.2878229
1.8,0.2703559,0.2703559,0.2703559,0.2703559
1.9,0.2587541,0.2587541,0.2587541,0.2587541
2.0,0.2395695,0.2395695,0.2395695,0.2395695
2.2,0.2059423,0.2059423,0.2059423,0.2059423
2.4,0.1972274,0.1972274,0.1972274,0.1972274
2.5,0.1933921,0.1933921,0.1933921,0.1933921
2.6,0.1907614,0.1907614,0.1907614,0.1907614
2.8,0.1782358,0.1782358,0.1782358,0.1782358
3.0,0.1661901,0.1661901,0.1661901,0.1661901
3.2,0.1571568,0.1571568,0.1571568,0.1571568
3.4,0.1508396,0.1508396,0.1508396,0.1508396
3.5,0.1467191,0.1467191,0.1467191,0.1467191
3.6,0.1417493,0.1417493,0.1417493,0.1417493
3.8,0.1307332,0.1307332,0.1307332,0.1307332
4.0,0.1248509,0.1248509,0.1248509,0.1248509
4.2,0.1183432,0.1183432,0.1183432,0.1183432
4.4,0.1119142,0.1119142,0.1119142,0.1119142
4.6,0.1059801,0.1059801,0.1059801,0.1059801
4.8,0.1011788,0.1011788,0.1011788,0.1011788
5.0,0.09444846,0.09444846,0.09444846,0.09444846
5.5,0.07390718,0.07390718,0.07390718,0.07390718
6.0,0.05520174,0.05520174,0.05520174,0.05520174
6.5,0.04278921,0.04278921,0.04278921,0.04278921
7.0,0.03491646,0.03491646,0.03491646,0.03491646
7.5,0.02928387,0.02928387,0.02928387,0.02928387
8.0,0.02428575,0.02428575,0.02428575,0.02428575
8.5,0.01997002,0.01997002,0.01997002,0.01997002
9.0,0.01720203,0.01720203,0.01720203,0.01720203
9.5,0.01518217,0.01518217,0.01518217,0.01518217
10.0,0.01344463,0.01344463,0.01344463,0.01344463
11.0,0.01066954,0.01066954,0.01066954,0.01066954
12.0,0.00860087,0.00860087,0.00860087,0.00860087
13.0,0.00704216,0.00704216,0.00704216,0.00704216
