
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 832
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 832, -, 1.0, -, 17.2, 28.5, 0.8, "Landers", 1992, "Amboy", 7.28, strike slip, 69.21, 69.21, 382.93, 0.1, 1.0, RSN832_LANDERS_ABY000.AT2, RSN832_LANDERS_ABY090.AT2 , RSN832_LANDERS_ABY-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-832 RotD50 pSa (g)
0.01,0.1321842,0.1321842,0.1321842,0.1321842
0.02,0.1327073,0.1327073,0.1327073,0.1327073
0.022,0.1347027,0.1347027,0.1347027,0.1347027
0.025,0.1348934,0.1348934,0.1348934,0.1348934
0.029,0.1352158,0.1352158,0.1352158,0.1352158
0.03,0.1337536,0.1337536,0.1337536,0.1337536
0.032,0.1303808,0.1303808,0.1303808,0.1303808
0.035,0.1306081,0.1306081,0.1306081,0.1306081
0.036,0.130433,0.130433,0.130433,0.130433
0.04,0.1334889,0.1334889,0.1334889,0.1334889
0.042,0.1358524,0.1358524,0.1358524,0.1358524
0.044,0.1376043,0.1376043,0.1376043,0.1376043
0.045,0.1378194,0.1378194,0.1378194,0.1378194
0.046,0.1374006,0.1374006,0.1374006,0.1374006
0.048,0.1391783,0.1391783,0.1391783,0.1391783
0.05,0.1416695,0.1416695,0.1416695,0.1416695
0.055,0.1451498,0.1451498,0.1451498,0.1451498
0.06,0.1473735,0.1473735,0.1473735,0.1473735
0.065,0.1511148,0.1511148,0.1511148,0.1511148
0.067,0.1575699,0.1575699,0.1575699,0.1575699
0.07,0.1600601,0.1600601,0.1600601,0.1600601
0.075,0.1691137,0.1691137,0.1691137,0.1691137
0.08,0.1852019,0.1852019,0.1852019,0.1852019
0.085,0.1919466,0.1919466,0.1919466,0.1919466
0.09,0.2068116,0.2068116,0.2068116,0.2068116
0.095,0.2465888,0.2465888,0.2465888,0.2465888
0.1,0.2660359,0.2660359,0.2660359,0.2660359
0.11,0.3024373,0.3024373,0.3024373,0.3024373
0.12,0.3633093,0.3633093,0.3633093,0.3633093
0.13,0.40183,0.40183,0.40183,0.40183
0.133,0.4148137,0.4148137,0.4148137,0.4148137
0.14,0.4081954,0.4081954,0.4081954,0.4081954
0.15,0.3988576,0.3988576,0.3988576,0.3988576
0.16,0.3738121,0.3738121,0.3738121,0.3738121
0.17,0.345688,0.345688,0.345688,0.345688
0.18,0.3356574,0.3356574,0.3356574,0.3356574
0.19,0.3138154,0.3138154,0.3138154,0.3138154
0.2,0.340109,0.340109,0.340109,0.340109
0.22,0.4231652,0.4231652,0.4231652,0.4231652
