
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 901
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 901, -, 1.0, -, 6.3, 10.4, 3.3, "Big Bear-01", 1992, "Big Bear Lake - Civic Center", 6.46, strike slip, 7.31, 8.3, 430.36, 0.12, 1.0, RSN901_BIGBEAR_BLC360.AT2, RSN901_BIGBEAR_BLC270.AT2 , RSN901_BIGBEAR_BLC-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-901 RotD50 pSa (g)
0.01,0.5337411,0.5337411,0.5337411,0.5337411
0.02,0.525977,0.525977,0.525977,0.525977
0.022,0.5282174,0.5282174,0.5282174,0.5282174
0.025,0.5310473,0.5310473,0.5310473,0.5310473
0.029,0.5275156,0.5275156,0.5275156,0.5275156
0.03,0.5289658,0.5289658,0.5289658,0.5289658
0.032,0.526403,0.526403,0.526403,0.526403
0.035,0.547694,0.547694,0.547694,0.547694
0.036,0.5531323,0.5531323,0.5531323,0.5531323
0.04,0.5607885,0.5607885,0.5607885,0.5607885
0.042,0.564798,0.564798,0.564798,0.564798
0.044,0.5759374,0.5759374,0.5759374,0.5759374
0.045,0.5776929,0.5776929,0.5776929,0.5776929
0.046,0.5725138,0.5725138,0.5725138,0.5725138
0.048,0.552921,0.552921,0.552921,0.552921
0.05,0.544821,0.544821,0.544821,0.544821
0.055,0.559961,0.559961,0.559961,0.559961
0.06,0.6213211,0.6213211,0.6213211,0.6213211
0.065,0.6446479,0.6446479,0.6446479,0.6446479
0.067,0.6399025,0.6399025,0.6399025,0.6399025
0.07,0.6631065,0.6631065,0.6631065,0.6631065
0.075,0.7611631,0.7611631,0.7611631,0.7611631
0.08,0.7457686,0.7457686,0.7457686,0.7457686
0.085,0.8180835,0.8180835,0.8180835,0.8180835
0.09,0.8337854,0.8337854,0.8337854,0.8337854
0.095,0.9036626,0.9036626,0.9036626,0.9036626
0.1,0.9797808,0.9797808,0.9797808,0.9797808
0.11,1.025391,1.025391,1.025391,1.025391
0.12,1.129066,1.129066,1.129066,1.129066
0.13,1.104375,1.104375,1.104375,1.104375
0.133,1.178118,1.178118,1.178118,1.178118
0.14,1.483779,1.483779,1.483779,1.483779
0.15,1.434522,1.434522,1.434522,1.434522
0.16,1.438564,1.438564,1.438564,1.438564
0.17,1.324002,1.324002,1.324002,1.324002
0.18,1.19959,1.19959,1.19959,1.19959
0.19,1.145742,1.145742,1.145742,1.145742
0.2,1.112117,1.112117,1.112117,1.112117
0.22,1.098189,1.098189,1.098189,1.098189
0.24,1.334428,1.334428,1.334428,1.334428
0.25,1.374082,1.374082,1.374082,1.374082
0.26,1.453322,1.453322,1.453322,1.453322
0.28,1.703938,1.703938,1.703938,1.703938
0.29,1.827042,1.827042,1.827042,1.827042
0.3,1.920908,1.920908,1.920908,1.920908
0.32,1.984726,1.984726,1.984726,1.984726
0.34,1.76313,1.76313,1.76313,1.76313
0.35,1.674703,1.674703,1.674703,1.674703
0.36,1.549985,1.549985,1.549985,1.549985
0.38,1.229311,1.229311,1.229311,1.229311
0.4,0.9917637,0.9917637,0.9917637,0.9917637
0.42,0.8672143,0.8672143,0.8672143,0.8672143
0.44,0.8666519,0.8666519,0.8666519,0.8666519
0.45,0.8549461,0.8549461,0.8549461,0.8549461
