
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 942
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 942, -, 1.0, -, 9.8, 21.2, 0.2, "Northridge-01", 1994, "Alhambra - Fremont School", 6.69, Reverse, 35.66, 36.77, 549.75, 0.24, 1.0, RSN942_NORTHR_ALH090.AT2, RSN942_NORTHR_ALH360.AT2 , RSN942_NORTHR_ALH-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-942 RotD50 pSa (g)
0.01,0.08912118,0.08912118,0.08912118,0.08912118
0.02,0.09004378,0.09004378,0.09004378,0.09004378
0.022,0.09348524,0.09348524,0.09348524,0.09348524
0.025,0.09114346,0.09114346,0.09114346,0.09114346
0.029,0.08974852,0.08974852,0.08974852,0.08974852
0.03,0.08991872,0.08991872,0.08991872,0.08991872
0.032,0.09147836,0.09147836,0.09147836,0.09147836
0.035,0.09347966,0.09347966,0.09347966,0.09347966
0.036,0.09352767,0.09352767,0.09352767,0.09352767
0.04,0.0918042,0.0918042,0.0918042,0.0918042
0.042,0.09208878,0.09208878,0.09208878,0.09208878
0.044,0.09425842,0.09425842,0.09425842,0.09425842
0.045,0.09409379,0.09409379,0.09409379,0.09409379
0.046,0.09387837,0.09387837,0.09387837,0.09387837
0.048,0.09255323,0.09255323,0.09255323,0.09255323
0.05,0.0915253,0.0915253,0.0915253,0.0915253
0.055,0.09487233,0.09487233,0.09487233,0.09487233
0.06,0.09575497,0.09575497,0.09575497,0.09575497
0.065,0.1003602,0.1003602,0.1003602,0.1003602
0.067,0.1020672,0.1020672,0.1020672,0.1020672
0.07,0.105471,0.105471,0.105471,0.105471
0.075,0.1153128,0.1153128,0.1153128,0.1153128
0.08,0.1219278,0.1219278,0.1219278,0.1219278
0.085,0.1270825,0.1270825,0.1270825,0.1270825
0.09,0.1392144,0.1392144,0.1392144,0.1392144
0.095,0.1529105,0.1529105,0.1529105,0.1529105
0.1,0.1717485,0.1717485,0.1717485,0.1717485
0.11,0.1661009,0.1661009,0.1661009,0.1661009
0.12,0.1685249,0.1685249,0.1685249,0.1685249
0.13,0.1980148,0.1980148,0.1980148,0.1980148
0.133,0.2122294,0.2122294,0.2122294,0.2122294
0.14,0.2284856,0.2284856,0.2284856,0.2284856
0.15,0.2623503,0.2623503,0.2623503,0.2623503
0.16,0.3101454,0.3101454,0.3101454,0.3101454
0.17,0.3402264,0.3402264,0.3402264,0.3402264
0.18,0.2545986,0.2545986,0.2545986,0.2545986
0.19,0.2518131,0.2518131,0.2518131,0.2518131
0.2,0.2420986,0.2420986,0.2420986,0.2420986
0.22,0.300921,0.300921,0.300921,0.300921
0.24,0.3079171,0.3079171,0.3079171,0.3079171
0.25,0.2792087,0.2792087,0.2792087,0.2792087
0.26,0.2294659,0.2294659,0.2294659,0.2294659
0.28,0.2031514,0.2031514,0.2031514,0.2031514
