
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1630
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 1630, -, 1.0, -, 28.1, 47.7, 0.0, "Upland", 1990, "Ocean Floor SEMS III", 5.63, strike slip, 71.72, 71.73, 659.6, 0.144, 1.0, RSN1630_UPLAND_UP90S-H1.AT2, RSN1630_UPLAND_UP90S-H2.AT2 , RSN1630_UPLAND_UP90S-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-1630 RotD50 pSa (g)
0.01,0.02205279,0.02205279,0.02205279,0.02205279
0.02,0.02181483,0.02181483,0.02181483,0.02181483
0.022,0.02185339,0.02185339,0.02185339,0.02185339
0.025,0.02192465,0.02192465,0.02192465,0.02192465
0.029,0.02204006,0.02204006,0.02204006,0.02204006
0.03,0.0220738,0.0220738,0.0220738,0.0220738
0.032,0.02213955,0.02213955,0.02213955,0.02213955
0.035,0.02220309,0.02220309,0.02220309,0.02220309
0.036,0.02223237,0.02223237,0.02223237,0.02223237
0.04,0.02241091,0.02241091,0.02241091,0.02241091
0.042,0.02256982,0.02256982,0.02256982,0.02256982
0.044,0.02269307,0.02269307,0.02269307,0.02269307
0.045,0.02273245,0.02273245,0.02273245,0.02273245
0.046,0.02279229,0.02279229,0.02279229,0.02279229
0.048,0.02295604,0.02295604,0.02295604,0.02295604
0.05,0.02346328,0.02346328,0.02346328,0.02346328
0.055,0.02512464,0.02512464,0.02512464,0.02512464
0.06,0.02590304,0.02590304,0.02590304,0.02590304
0.065,0.02626726,0.02626726,0.02626726,0.02626726
0.067,0.02631419,0.02631419,0.02631419,0.02631419
0.07,0.02716034,0.02716034,0.02716034,0.02716034
0.075,0.02994275,0.02994275,0.02994275,0.02994275
0.08,0.02780096,0.02780096,0.02780096,0.02780096
0.085,0.02723872,0.02723872,0.02723872,0.02723872
0.09,0.02737382,0.02737382,0.02737382,0.02737382
0.095,0.02924933,0.02924933,0.02924933,0.02924933
0.1,0.0305447,0.0305447,0.0305447,0.0305447
0.11,0.03487163,0.03487163,0.03487163,0.03487163
0.12,0.0307606,0.0307606,0.0307606,0.0307606
0.13,0.037211,0.037211,0.037211,0.037211
0.133,0.03857798,0.03857798,0.03857798,0.03857798
0.14,0.03984091,0.03984091,0.03984091,0.03984091
0.15,0.03796033,0.03796033,0.03796033,0.03796033
0.16,0.04003987,0.04003987,0.04003987,0.04003987
0.17,0.04506763,0.04506763,0.04506763,0.04506763
0.18,0.05154831,0.05154831,0.05154831,0.05154831
0.19,0.04938176,0.04938176,0.04938176,0.04938176
0.2,0.05505698,0.05505698,0.05505698,0.05505698
0.22,0.06168058,0.06168058,0.06168058,0.06168058
0.24,0.06537576,0.06537576,0.06537576,0.06537576
0.25,0.06264713,0.06264713,0.06264713,0.06264713
0.26,0.05262773,0.05262773,0.05262773,0.05262773
0.28,0.06272179,0.06272179,0.06272179,0.06272179
0.29,0.06398518,0.06398518,0.06398518,0.06398518
0.3,0.0594244,0.0594244,0.0594244,0.0594244
0.32,0.05909708,0.05909708,0.05909708,0.05909708
0.34,0.06089968,0.06089968,0.06089968,0.06089968
0.35,0.05827332,0.05827332,0.05827332,0.05827332
0.36,0.0538528,0.0538528,0.0538528,0.0538528
0.38,0.04568217,0.04568217,0.04568217,0.04568217
0.4,0.04316729,0.04316729,0.04316729,0.04316729
0.42,0.03463262,0.03463262,0.03463262,0.03463262
0.44,0.02865169,0.02865169,0.02865169,0.02865169
0.45,0.02759735,0.02759735,0.02759735,0.02759735
0.46,0.02581183,0.02581183,0.02581183,0.02581183
0.48,0.02743835,0.02743835,0.02743835,0.02743835
0.5,0.03051958,0.03051958,0.03051958,0.03051958
0.55,0.03070738,0.03070738,0.03070738,0.03070738
0.6,0.03123149,0.03123149,0.03123149,0.03123149
0.65,0.02906629,0.02906629,0.02906629,0.02906629
0.667,0.02943965,0.02943965,0.02943965,0.02943965
0.7,0.02807416,0.02807416,0.02807416,0.02807416
0.75,0.03197725,0.03197725,0.03197725,0.03197725
0.8,0.02644718,0.02644718,0.02644718,0.02644718
0.85,0.02664715,0.02664715,0.02664715,0.02664715
0.9,0.02902248,0.02902248,0.02902248,0.02902248
0.95,0.03363958,0.03363958,0.03363958,0.03363958
1.0,0.03374533,0.03374533,0.03374533,0.03374533
1.1,0.02759797,0.02759797,0.02759797,0.02759797
1.2,0.02339504,0.02339504,0.02339504,0.02339504
1.3,0.01789925,0.01789925,0.01789925,0.01789925
1.4,0.01600663,0.01600663,0.01600663,0.01600663
1.5,0.01484388,0.01484388,0.01484388,0.01484388
1.6,0.01405312,0.01405312,0.01405312,0.01405312
1.7,0.01390908,0.01390908,0.01390908,0.01390908
1.8,0.01282905,0.01282905,0.01282905,0.01282905
1.9,0.01252185,0.01252185,0.01252185,0.01252185
2.0,0.01418571,0.01418571,0.01418571,0.01418571
2.2,0.01502311,0.01502311,0.01502311,0.01502311
2.4,0.01259826,0.01259826,0.01259826,0.01259826
2.5,0.01161007,0.01161007,0.01161007,0.01161007
2.6,0.01087913,0.01087913,0.01087913,0.01087913
2.8,0.01079646,0.01079646,0.01079646,0.01079646
3.0,0.01049988,0.01049988,0.01049988,0.01049988
3.2,0.00895941,0.00895941,0.00895941,0.00895941
3.4,0.00807825,0.00807825,0.00807825,0.00807825
3.5,0.00720697,0.00720697,0.00720697,0.00720697
3.6,0.00656148,0.00656148,0.00656148,0.00656148
3.8,0.00528234,0.00528234,0.00528234,0.00528234
4.0,0.00406282,0.00406282,0.00406282,0.00406282
4.2,0.00440816,0.00440816,0.00440816,0.00440816
4.4,0.00448828,0.00448828,0.00448828,0.00448828
4.6,0.00468216,0.00468216,0.00468216,0.00468216
4.8,0.00465738,0.00465738,0.00465738,0.00465738
5.0,0.00457934,0.00457934,0.00457934,0.00457934
5.5,0.0051846,0.0051846,0.0051846,0.0051846
6.0,0.00532056,0.00532056,0.00532056,0.00532056
6.5,0.00498865,0.00498865,0.00498865,0.00498865
7.0,0.00437395,0.00437395,0.00437395,0.00437395
7.5,0.00360199,0.00360199,0.00360199,0.00360199
8.0,0.00259192,0.00259192,0.00259192,0.00259192
8.5,0.00182204,0.00182204,0.00182204,0.00182204
9.0,0.00136132,0.00136132,0.00136132,0.00136132
9.5,0.00104391,0.00104391,0.00104391,0.00104391
10.0,0.00079773,0.00079773,0.00079773,0.00079773
11.0,0.0005597,0.0005597,0.0005597,0.0005597
12.0,0.00043587,0.00043587,0.00043587,0.00043587
13.0,0.00034731,0.00034731,0.00034731,0.00034731
14.0,0.00028317,0.00028317,0.00028317,0.00028317
15.0,0.00023998,0.00023998,0.00023998,0.00023998
20.0,0.00012214,0.00012214,0.00012214,0.00012214

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-1630 Horizontal-1 pSa (g),RSN-1630 Horizontal-2 pSa (g),RSN-1630 Vertical pSa (g)
0.01,0.02837591,0.01680411,0.00262
0.02,0.02820988,0.01674712,0.00263
0.022,0.02826084,0.01677553,0.00263
0.025,0.0283766,0.0168215,0.00262
0.029,0.0285047,0.01687204,0.00269
0.03,0.02853958,0.01690841,0.0027
0.032,0.02859486,0.01699284,0.00271
0.035,0.02872873,0.01708201,0.00276
0.036,0.02878766,0.01710167,0.00276
0.04,0.02904929,0.01724667,0.00275
0.042,0.02931497,0.017376,0.00278
0.044,0.02947068,0.01747548,0.003
0.045,0.02948021,0.01750439,0.00309
0.046,0.02950041,0.01756161,0.00313
0.048,0.0296193,0.01763795,0.00323
0.05,0.0296344,0.01746788,0.00321
0.055,0.02922703,0.01799234,0.00306
0.06,0.03152022,0.01863184,0.0041
0.065,0.02980946,0.01997407,0.00533
0.067,0.0305903,0.02191448,0.00564
0.07,0.03216593,0.02288998,0.00563
0.075,0.03399261,0.01838182,0.00549
0.08,0.03296031,0.01919094,0.00626
0.085,0.03430254,0.01932266,0.00666
0.09,0.03519496,0.02005091,0.00705
0.095,0.03704071,0.02221472,0.00714
0.1,0.03754558,0.02482072,0.0065
0.11,0.04459364,0.02794301,0.00648
0.12,0.03896509,0.02984982,0.00454
0.13,0.04697406,0.03578866,0.00384
0.133,0.0497281,0.03706116,0.00349
0.14,0.05285206,0.03515259,0.00341
0.15,0.04660546,0.03538119,0.00284
0.16,0.04162745,0.03814744,0.00304
0.17,0.05607812,0.04229515,0.00305
0.18,0.06142239,0.04000314,0.00295
0.19,0.05900456,0.04278103,0.00295
0.2,0.0713693,0.04912836,0.00342
0.22,0.07658764,0.03753887,0.00366
0.24,0.08184209,0.05601036,0.00465
0.25,0.07528551,0.04955925,0.00479
0.26,0.06579954,0.03908812,0.0042
0.28,0.08590268,0.03831963,0.00364
0.29,0.08729753,0.03981702,0.00342
0.3,0.08155087,0.03641764,0.0037
0.32,0.07605603,0.04060785,0.00375
0.34,0.07039407,0.04044214,0.00422
0.35,0.06662486,0.04095081,0.00427
0.36,0.06360811,0.03965249,0.004
0.38,0.05409544,0.0347417,0.00373
0.4,0.04509874,0.03392447,0.00405
0.42,0.03778939,0.02860995,0.0041
0.44,0.03166302,0.02722731,0.00462
0.45,0.02784737,0.02575204,0.00503
0.46,0.02335204,0.02383007,0.00548
0.48,0.02623923,0.02622063,0.00662
0.5,0.02840997,0.02955512,0.00729
0.55,0.02909257,0.02794513,0.00668
0.6,0.03140265,0.02965945,0.00586
0.65,0.02903789,0.02909469,0.00549
0.667,0.03110615,0.02933304,0.00531
0.7,0.03118785,0.02502132,0.00481
0.75,0.03251489,0.02837603,0.00441
0.8,0.02864272,0.02609262,0.00478
0.85,0.03235808,0.02482603,0.00573
0.9,0.02799338,0.02852909,0.00514
0.95,0.03475759,0.03321695,0.00472
1.0,0.03464656,0.03329469,0.00498
1.1,0.03171875,0.02546803,0.00411
1.2,0.02780803,0.01667547,0.00301
1.3,0.02039321,0.01818124,0.0021
1.4,0.0177045,0.0162044,0.00169
1.5,0.01569049,0.01650782,0.00125
1.6,0.01429903,0.01353717,0.000989
1.7,0.01317305,0.01538283,0.000817
1.8,0.01297399,0.01264858,0.000771
1.9,0.01382131,0.01108921,0.000797
2.0,0.01747209,0.01059478,0.000747
2.2,0.01687863,0.01222713,0.000713
2.4,0.01302129,0.01224103,0.000674
2.5,0.01138169,0.01183841,0.000594
2.6,0.00916625,0.01177972,0.0005
2.8,0.00940132,0.01204117,0.000472
3.0,0.00987847,0.0112278,0.000441
3.2,0.00855144,0.00956451,0.000365
3.4,0.00671048,0.00931857,0.000285
3.5,0.00571514,0.00868611,0.000265
3.6,0.00478357,0.00772544,0.000258
3.8,0.00381465,0.00624939,0.000256
4.0,0.00402027,0.00448339,0.000252
4.2,0.00444539,0.00412744,0.000239
4.4,0.0049126,0.003962,0.000217
4.6,0.0043434,0.00502587,0.000189
4.8,0.00367652,0.00588449,0.000173
5.0,0.0037474,0.00576193,0.000161
5.5,0.00500087,0.00536359,0.000146
6.0,0.00449497,0.00603986,0.000117
6.5,0.00521514,0.00473568,8.6e-05
7.0,0.00434255,0.00440534,6.63e-05
7.5,0.0031458,0.00400039,5.34e-05
8.0,0.00215771,0.00294042,4.45e-05
8.5,0.00166224,0.00196303,4.07e-05
9.0,0.00123875,0.00142829,3.69e-05
9.5,0.00097147,0.0010952,3.32e-05
10.0,0.00076938,0.00081957,2.98e-05
11.0,0.00054989,0.00056855,2.4e-05
12.0,0.00042985,0.00044022,1.95e-05
13.0,0.00033887,0.00035422,1.6e-05
14.0,0.00027082,0.00029373,1.33e-05
15.0,0.00022208,0.00025815,1.13e-05
20.0,0.00010651,0.0001342,5.87e-06
