
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1641
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 1641, -, 1.0, -, 1.4, 5.3, 1.2, "Sierra Madre", 1991, "Altadena - Eaton Canyon", 5.61, Reverse, 8.57, 13.17, 375.16, 0.5, 1.0, RSN1641_SMADRE_ALT000.AT2, RSN1641_SMADRE_ALT090.AT2 , RSN1641_SMADRE_ALT-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-1641 RotD50 pSa (g)
0.01,0.3459474,0.3459474,0.3459474,0.3459474
0.02,0.3471877,0.3471877,0.3471877,0.3471877
0.022,0.3465576,0.3465576,0.3465576,0.3465576
0.025,0.3497238,0.3497238,0.3497238,0.3497238
0.029,0.3487941,0.3487941,0.3487941,0.3487941
0.03,0.34995,0.34995,0.34995,0.34995
0.032,0.3592028,0.3592028,0.3592028,0.3592028
0.035,0.3595796,0.3595796,0.3595796,0.3595796
0.036,0.3550481,0.3550481,0.3550481,0.3550481
0.04,0.3504646,0.3504646,0.3504646,0.3504646
0.042,0.3540448,0.3540448,0.3540448,0.3540448
0.044,0.3613726,0.3613726,0.3613726,0.3613726
0.045,0.3657044,0.3657044,0.3657044,0.3657044
0.046,0.3695875,0.3695875,0.3695875,0.3695875
0.048,0.372539,0.372539,0.372539,0.372539
0.05,0.3790126,0.3790126,0.3790126,0.3790126
0.055,0.3771021,0.3771021,0.3771021,0.3771021
0.06,0.3721663,0.3721663,0.3721663,0.3721663
0.065,0.3868932,0.3868932,0.3868932,0.3868932
0.067,0.3992183,0.3992183,0.3992183,0.3992183
0.07,0.4043781,0.4043781,0.4043781,0.4043781
0.075,0.4236867,0.4236867,0.4236867,0.4236867
0.08,0.4433746,0.4433746,0.4433746,0.4433746
0.085,0.4528157,0.4528157,0.4528157,0.4528157
0.09,0.4628992,0.4628992,0.4628992,0.4628992
0.095,0.4630949,0.4630949,0.4630949,0.4630949
0.1,0.4874935,0.4874935,0.4874935,0.4874935
0.11,0.5712301,0.5712301,0.5712301,0.5712301
0.12,0.6320783,0.6320783,0.6320783,0.6320783
0.13,0.825904,0.825904,0.825904,0.825904
0.133,0.9068488,0.9068488,0.9068488,0.9068488
0.14,1.013018,1.013018,1.013018,1.013018
0.15,0.9749571,0.9749571,0.9749571,0.9749571
0.16,0.8243265,0.8243265,0.8243265,0.8243265
0.17,0.876861,0.876861,0.876861,0.876861
0.18,1.019319,1.019319,1.019319,1.019319
0.19,0.973278,0.973278,0.973278,0.973278
0.2,0.7858164,0.7858164,0.7858164,0.7858164
0.22,0.7421117,0.7421117,0.7421117,0.7421117
0.24,0.7751706,0.7751706,0.7751706,0.7751706
0.25,0.823379,0.823379,0.823379,0.823379
0.26,0.8524814,0.8524814,0.8524814,0.8524814
0.28,0.9516786,0.9516786,0.9516786,0.9516786
0.29,1.016781,1.016781,1.016781,1.016781
0.3,1.071435,1.071435,1.071435,1.071435
0.32,1.134198,1.134198,1.134198,1.134198
0.34,1.149651,1.149651,1.149651,1.149651
0.35,1.141016,1.141016,1.141016,1.141016
0.36,1.149026,1.149026,1.149026,1.149026
0.38,1.146373,1.146373,1.146373,1.146373
0.4,1.146679,1.146679,1.146679,1.146679
0.42,1.099877,1.099877,1.099877,1.099877
0.44,1.013881,1.013881,1.013881,1.013881
0.45,0.9639488,0.9639488,0.9639488,0.9639488
0.46,0.9030036,0.9030036,0.9030036,0.9030036
0.48,0.7850412,0.7850412,0.7850412,0.7850412
0.5,0.6629719,0.6629719,0.6629719,0.6629719
0.55,0.4220653,0.4220653,0.4220653,0.4220653
0.6,0.3040055,0.3040055,0.3040055,0.3040055
0.65,0.2625885,0.2625885,0.2625885,0.2625885
0.667,0.2495425,0.2495425,0.2495425,0.2495425
