
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1650
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 1650, -, 1.0, -, 3.9, 15.1, 0.0, "Northridge-02", 1994, "Anaverde Valley - City R", 6.05, Reverse, 37.0, 38.14, 349.6, 1.2, 1.0, RSN1650_NORTH001_ANA090.AT2, RSN1650_NORTH001_ANA180.AT2 , RSN1650_NORTH001_ANA-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-1650 RotD50 pSa (g)
0.01,0.0130402,0.0130402,0.0130402,0.0130402
0.02,0.01312291,0.01312291,0.01312291,0.01312291
0.022,0.01320236,0.01320236,0.01320236,0.01320236
0.025,0.01342498,0.01342498,0.01342498,0.01342498
0.029,0.01348777,0.01348777,0.01348777,0.01348777
0.03,0.01330773,0.01330773,0.01330773,0.01330773
0.032,0.01332163,0.01332163,0.01332163,0.01332163
0.035,0.01373786,0.01373786,0.01373786,0.01373786
0.036,0.01397533,0.01397533,0.01397533,0.01397533
0.04,0.01473144,0.01473144,0.01473144,0.01473144
0.042,0.01550321,0.01550321,0.01550321,0.01550321
0.044,0.01511469,0.01511469,0.01511469,0.01511469
0.045,0.01471738,0.01471738,0.01471738,0.01471738
0.046,0.01457523,0.01457523,0.01457523,0.01457523
0.048,0.01499812,0.01499812,0.01499812,0.01499812
0.05,0.01568565,0.01568565,0.01568565,0.01568565
0.055,0.01762255,0.01762255,0.01762255,0.01762255
0.06,0.01951073,0.01951073,0.01951073,0.01951073
0.065,0.02170396,0.02170396,0.02170396,0.02170396
0.067,0.02330078,0.02330078,0.02330078,0.02330078
0.07,0.02646896,0.02646896,0.02646896,0.02646896
0.075,0.02809064,0.02809064,0.02809064,0.02809064
0.08,0.02634446,0.02634446,0.02634446,0.02634446
0.085,0.0304108,0.0304108,0.0304108,0.0304108
0.09,0.03052343,0.03052343,0.03052343,0.03052343
0.095,0.03181738,0.03181738,0.03181738,0.03181738
0.1,0.03103055,0.03103055,0.03103055,0.03103055
0.11,0.02634536,0.02634536,0.02634536,0.02634536
0.12,0.02882179,0.02882179,0.02882179,0.02882179
0.13,0.03226891,0.03226891,0.03226891,0.03226891
0.133,0.03476745,0.03476745,0.03476745,0.03476745
0.14,0.03993844,0.03993844,0.03993844,0.03993844
0.15,0.04820666,0.04820666,0.04820666,0.04820666
0.16,0.04969667,0.04969667,0.04969667,0.04969667
0.17,0.04508429,0.04508429,0.04508429,0.04508429
0.18,0.03929645,0.03929645,0.03929645,0.03929645
0.19,0.03377562,0.03377562,0.03377562,0.03377562
0.2,0.02861556,0.02861556,0.02861556,0.02861556
0.22,0.02437709,0.02437709,0.02437709,0.02437709
