
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1668
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 1668, -, 1.0, -, 2.8, 7.0, 0.0, "Northridge-03", 1994, "Castaic - Old Ridge Route", 5.2, Reverse, 23.5, 24.1, 450.28, 0.8, 1.0, RSN1668_NORTH009_ORR090.AT2, RSN1668_NORTH009_ORR360.AT2 , RSN1668_NORTH009_ORR-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-1668 RotD50 pSa (g)
0.01,0.03875616,0.03875616,0.03875616,0.03875616
0.02,0.03912223,0.03912223,0.03912223,0.03912223
0.022,0.03999844,0.03999844,0.03999844,0.03999844
0.025,0.03970474,0.03970474,0.03970474,0.03970474
0.029,0.03883554,0.03883554,0.03883554,0.03883554
0.03,0.03857743,0.03857743,0.03857743,0.03857743
0.032,0.03865809,0.03865809,0.03865809,0.03865809
0.035,0.03889526,0.03889526,0.03889526,0.03889526
0.036,0.03899251,0.03899251,0.03899251,0.03899251
0.04,0.0394254,0.0394254,0.0394254,0.0394254
0.042,0.03947415,0.03947415,0.03947415,0.03947415
0.044,0.03935617,0.03935617,0.03935617,0.03935617
0.045,0.03936495,0.03936495,0.03936495,0.03936495
0.046,0.0392785,0.0392785,0.0392785,0.0392785
0.048,0.03937946,0.03937946,0.03937946,0.03937946
0.05,0.03943726,0.03943726,0.03943726,0.03943726
0.055,0.03938422,0.03938422,0.03938422,0.03938422
0.06,0.03980184,0.03980184,0.03980184,0.03980184
0.065,0.03928275,0.03928275,0.03928275,0.03928275
0.067,0.03954028,0.03954028,0.03954028,0.03954028
0.07,0.04168001,0.04168001,0.04168001,0.04168001
0.075,0.04307022,0.04307022,0.04307022,0.04307022
0.08,0.04387549,0.04387549,0.04387549,0.04387549
0.085,0.04360731,0.04360731,0.04360731,0.04360731
0.09,0.04564415,0.04564415,0.04564415,0.04564415
0.095,0.04787957,0.04787957,0.04787957,0.04787957
0.1,0.05054937,0.05054937,0.05054937,0.05054937
0.11,0.05380568,0.05380568,0.05380568,0.05380568
0.12,0.06156588,0.06156588,0.06156588,0.06156588
0.13,0.07748237,0.07748237,0.07748237,0.07748237
0.133,0.08060967,0.08060967,0.08060967,0.08060967
0.14,0.08263068,0.08263068,0.08263068,0.08263068
0.15,0.101353,0.101353,0.101353,0.101353
0.16,0.1114675,0.1114675,0.1114675,0.1114675
0.17,0.09051547,0.09051547,0.09051547,0.09051547
0.18,0.09232294,0.09232294,0.09232294,0.09232294
0.19,0.08968496,0.08968496,0.08968496,0.08968496
0.2,0.08096963,0.08096963,0.08096963,0.08096963
0.22,0.09505947,0.09505947,0.09505947,0.09505947
0.24,0.1159378,0.1159378,0.1159378,0.1159378
0.25,0.1289322,0.1289322,0.1289322,0.1289322
0.26,0.1420731,0.1420731,0.1420731,0.1420731
0.28,0.1626898,0.1626898,0.1626898,0.1626898
0.29,0.1653819,0.1653819,0.1653819,0.1653819
0.3,0.1673381,0.1673381,0.1673381,0.1673381
0.32,0.1440125,0.1440125,0.1440125,0.1440125
0.34,0.1122683,0.1122683,0.1122683,0.1122683
0.35,0.09647736,0.09647736,0.09647736,0.09647736
0.36,0.08541887,0.08541887,0.08541887,0.08541887
0.38,0.07280829,0.07280829,0.07280829,0.07280829
0.4,0.06981118,0.06981118,0.06981118,0.06981118
0.42,0.06715535,0.06715535,0.06715535,0.06715535
0.44,0.06154247,0.06154247,0.06154247,0.06154247
0.45,0.05888576,0.05888576,0.05888576,0.05888576
0.46,0.05419479,0.05419479,0.05419479,0.05419479
0.48,0.04698341,0.04698341,0.04698341,0.04698341
0.5,0.04328541,0.04328541,0.04328541,0.04328541
0.55,0.03985741,0.03985741,0.03985741,0.03985741
0.6,0.03994771,0.03994771,0.03994771,0.03994771
0.65,0.02975835,0.02975835,0.02975835,0.02975835
0.667,0.02953034,0.02953034,0.02953034,0.02953034
0.7,0.03025075,0.03025075,0.03025075,0.03025075
