
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1682
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 1682, -, 1.0, -, 2.9, 7.0, 0.0, "Northridge-05", 1994, "Anaverde Valley - City R", 5.13, Reverse Oblique, 49.42, 51.0, 349.6, 0.4, 1.0, RSN1682_NORTH151_ANA090.AT2, RSN1682_NORTH151_ANA180.AT2 , RSN1682_NORTH151_ANA-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-1682 RotD50 pSa (g)
0.01,0.01340028,0.01340028,0.01340028,0.01340028
0.02,0.01338864,0.01338864,0.01338864,0.01338864
0.022,0.01352889,0.01352889,0.01352889,0.01352889
0.025,0.0136473,0.0136473,0.0136473,0.0136473
0.029,0.01361431,0.01361431,0.01361431,0.01361431
0.03,0.01348258,0.01348258,0.01348258,0.01348258
0.032,0.01315501,0.01315501,0.01315501,0.01315501
0.035,0.01322191,0.01322191,0.01322191,0.01322191
0.036,0.01337298,0.01337298,0.01337298,0.01337298
0.04,0.01341841,0.01341841,0.01341841,0.01341841
0.042,0.01394332,0.01394332,0.01394332,0.01394332
0.044,0.0144975,0.0144975,0.0144975,0.0144975
0.045,0.01460337,0.01460337,0.01460337,0.01460337
0.046,0.0145675,0.0145675,0.0145675,0.0145675
0.048,0.01433883,0.01433883,0.01433883,0.01433883
0.05,0.01428123,0.01428123,0.01428123,0.01428123
0.055,0.01482519,0.01482519,0.01482519,0.01482519
0.06,0.01491316,0.01491316,0.01491316,0.01491316
0.065,0.01639194,0.01639194,0.01639194,0.01639194
0.067,0.01611987,0.01611987,0.01611987,0.01611987
0.07,0.01710855,0.01710855,0.01710855,0.01710855
0.075,0.01687254,0.01687254,0.01687254,0.01687254
0.08,0.01691785,0.01691785,0.01691785,0.01691785
0.085,0.01775485,0.01775485,0.01775485,0.01775485
0.09,0.01865577,0.01865577,0.01865577,0.01865577
0.095,0.02077188,0.02077188,0.02077188,0.02077188
0.1,0.02350875,0.02350875,0.02350875,0.02350875
0.11,0.02385867,0.02385867,0.02385867,0.02385867
0.12,0.0318149,0.0318149,0.0318149,0.0318149
0.13,0.03463978,0.03463978,0.03463978,0.03463978
0.133,0.03457217,0.03457217,0.03457217,0.03457217
0.14,0.03647345,0.03647345,0.03647345,0.03647345
0.15,0.02976083,0.02976083,0.02976083,0.02976083
0.16,0.02782183,0.02782183,0.02782183,0.02782183
0.17,0.02444982,0.02444982,0.02444982,0.02444982
0.18,0.02145157,0.02145157,0.02145157,0.02145157
0.19,0.02438343,0.02438343,0.02438343,0.02438343
0.2,0.02696403,0.02696403,0.02696403,0.02696403
0.22,0.02675763,0.02675763,0.02675763,0.02675763
0.24,0.0307634,0.0307634,0.0307634,0.0307634
0.25,0.03285386,0.03285386,0.03285386,0.03285386
0.26,0.03573914,0.03573914,0.03573914,0.03573914
0.28,0.04088445,0.04088445,0.04088445,0.04088445
0.29,0.04117224,0.04117224,0.04117224,0.04117224
0.3,0.04141099,0.04141099,0.04141099,0.04141099
0.32,0.04004219,0.04004219,0.04004219,0.04004219
0.34,0.03614054,0.03614054,0.03614054,0.03614054
0.35,0.03358674,0.03358674,0.03358674,0.03358674
0.36,0.03219977,0.03219977,0.03219977,0.03219977
0.38,0.03248801,0.03248801,0.03248801,0.03248801
0.4,0.02950773,0.02950773,0.02950773,0.02950773
0.42,0.02800198,0.02800198,0.02800198,0.02800198
0.44,0.024,0.024,0.024,0.024
0.45,0.02153384,0.02153384,0.02153384,0.02153384
0.46,0.01964359,0.01964359,0.01964359,0.01964359
0.48,0.01792149,0.01792149,0.01792149,0.01792149
0.5,0.01517001,0.01517001,0.01517001,0.01517001
0.55,0.01140738,0.01140738,0.01140738,0.01140738
0.6,0.01530229,0.01530229,0.01530229,0.01530229
0.65,0.01396928,0.01396928,0.01396928,0.01396928
0.667,0.01374562,0.01374562,0.01374562,0.01374562
0.7,0.0132483,0.0132483,0.0132483,0.0132483
0.75,0.01120324,0.01120324,0.01120324,0.01120324
0.8,0.00958635,0.00958635,0.00958635,0.00958635
0.85,0.0077836,0.0077836,0.0077836,0.0077836
0.9,0.00947852,0.00947852,0.00947852,0.00947852
0.95,0.00928805,0.00928805,0.00928805,0.00928805
1.0,0.00833185,0.00833185,0.00833185,0.00833185
1.1,0.00732663,0.00732663,0.00732663,0.00732663
1.2,0.00537268,0.00537268,0.00537268,0.00537268
1.3,0.00377973,0.00377973,0.00377973,0.00377973
1.4,0.00302663,0.00302663,0.00302663,0.00302663
1.5,0.00228095,0.00228095,0.00228095,0.00228095
1.6,0.00184325,0.00184325,0.00184325,0.00184325
1.7,0.00144956,0.00144956,0.00144956,0.00144956
1.8,0.00126332,0.00126332,0.00126332,0.00126332
1.9,0.00125607,0.00125607,0.00125607,0.00125607
2.0,0.00119567,0.00119567,0.00119567,0.00119567
2.2,0.00094706,0.00094706,0.00094706,0.00094706
2.4,0.00060988,0.00060988,0.00060988,0.00060988
2.5,0.00056442,0.00056442,0.00056442,0.00056442
2.6,0.00052205,0.00052205,0.00052205,0.00052205
2.8,0.00045033,0.00045033,0.00045033,0.00045033
3.0,0.00040769,0.00040769,0.00040769,0.00040769
3.2,0.00039159,0.00039159,0.00039159,0.00039159
3.4,0.00035336,0.00035336,0.00035336,0.00035336
3.5,0.00032614,0.00032614,0.00032614,0.00032614
3.6,0.00029648,0.00029648,0.00029648,0.00029648
3.8,0.00023753,0.00023753,0.00023753,0.00023753
4.0,0.00020179,0.00020179,0.00020179,0.00020179
4.2,0.00018586,0.00018586,0.00018586,0.00018586
4.4,0.00016175,0.00016175,0.00016175,0.00016175
4.6,0.00014095,0.00014095,0.00014095,0.00014095
4.8,0.00012411,0.00012411,0.00012411,0.00012411
5.0,0.00011328,0.00011328,0.00011328,0.00011328
5.5,9.508e-05,9.508e-05,9.508e-05,9.508e-05
6.0,8.33e-05,8.33e-05,8.33e-05,8.33e-05
