
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1691
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 1691, -, 1.0, -, 5.6, 19.6, 0.0, "Northridge-06", 1994, "Anacapa Island", 5.28, Reverse, 81.9, 82.63, 501.75, 0.6, 1.0, RSN1691_NORTH392_ACI000.AT2, RSN1691_NORTH392_ACI270.AT2 ,  -----   

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-1691 RotD50 pSa (g)
0.01,0.01053026,0.01053026,0.01053026,0.01053026
0.02,0.01064696,0.01064696,0.01064696,0.01064696
0.022,0.01076179,0.01076179,0.01076179,0.01076179
0.025,0.0118553,0.0118553,0.0118553,0.0118553
0.029,0.01136134,0.01136134,0.01136134,0.01136134
0.03,0.01118698,0.01118698,0.01118698,0.01118698
0.032,0.01136514,0.01136514,0.01136514,0.01136514
0.035,0.01160995,0.01160995,0.01160995,0.01160995
0.036,0.01157445,0.01157445,0.01157445,0.01157445
0.04,0.01096578,0.01096578,0.01096578,0.01096578
0.042,0.01134906,0.01134906,0.01134906,0.01134906
0.044,0.01183614,0.01183614,0.01183614,0.01183614
0.045,0.01196913,0.01196913,0.01196913,0.01196913
0.046,0.0119904,0.0119904,0.0119904,0.0119904
0.048,0.012152,0.012152,0.012152,0.012152
0.05,0.01259653,0.01259653,0.01259653,0.01259653
0.055,0.01223094,0.01223094,0.01223094,0.01223094
0.06,0.01259343,0.01259343,0.01259343,0.01259343
0.065,0.01272223,0.01272223,0.01272223,0.01272223
0.067,0.01281383,0.01281383,0.01281383,0.01281383
0.07,0.01291134,0.01291134,0.01291134,0.01291134
0.075,0.01467109,0.01467109,0.01467109,0.01467109
0.08,0.01516227,0.01516227,0.01516227,0.01516227
0.085,0.0162066,0.0162066,0.0162066,0.0162066
0.09,0.01755821,0.01755821,0.01755821,0.01755821
0.095,0.02106839,0.02106839,0.02106839,0.02106839
0.1,0.02250384,0.02250384,0.02250384,0.02250384
0.11,0.02871545,0.02871545,0.02871545,0.02871545
0.12,0.03400633,0.03400633,0.03400633,0.03400633
0.13,0.03308284,0.03308284,0.03308284,0.03308284
0.133,0.03267016,0.03267016,0.03267016,0.03267016
0.14,0.03666303,0.03666303,0.03666303,0.03666303
0.15,0.04075887,0.04075887,0.04075887,0.04075887
0.16,0.04570343,0.04570343,0.04570343,0.04570343
0.17,0.05272481,0.05272481,0.05272481,0.05272481
0.18,0.04700763,0.04700763,0.04700763,0.04700763
0.19,0.03420618,0.03420618,0.03420618,0.03420618
0.2,0.03172242,0.03172242,0.03172242,0.03172242
0.22,0.02759105,0.02759105,0.02759105,0.02759105
0.24,0.02120003,0.02120003,0.02120003,0.02120003
0.25,0.0176588,0.0176588,0.0176588,0.0176588
0.26,0.01638388,0.01638388,0.01638388,0.01638388
0.28,0.01573441,0.01573441,0.01573441,0.01573441
0.29,0.01574535,0.01574535,0.01574535,0.01574535
0.3,0.01637068,0.01637068,0.01637068,0.01637068
0.32,0.01609351,0.01609351,0.01609351,0.01609351
0.34,0.01301463,0.01301463,0.01301463,0.01301463
0.35,0.01235641,0.01235641,0.01235641,0.01235641
0.36,0.0123747,0.0123747,0.0123747,0.0123747
0.38,0.0137772,0.0137772,0.0137772,0.0137772
0.4,0.01486097,0.01486097,0.01486097,0.01486097
0.42,0.01466128,0.01466128,0.01466128,0.01466128
0.44,0.01407798,0.01407798,0.01407798,0.01407798
0.45,0.01291512,0.01291512,0.01291512,0.01291512
0.46,0.0123375,0.0123375,0.0123375,0.0123375
0.48,0.01073597,0.01073597,0.01073597,0.01073597
0.5,0.00890937,0.00890937,0.00890937,0.00890937
0.55,0.00875739,0.00875739,0.00875739,0.00875739
0.6,0.007799,0.007799,0.007799,0.007799
0.65,0.00861911,0.00861911,0.00861911,0.00861911
0.667,0.00937167,0.00937167,0.00937167,0.00937167
0.7,0.01014704,0.01014704,0.01014704,0.01014704
0.75,0.00816118,0.00816118,0.00816118,0.00816118
