
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1756
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 1756, -, 1.0, -, 9.8, 19.8, 0.0, "San Juan Bautista", 1998, "Hollister - City Hall Annex", 5.17, strike slip, 11.64, 13.49, 272.8, 0.5, 1.0, RSN1756_SANJUAN_CHA090.AT2, RSN1756_SANJUAN_CHA180.AT2 , RSN1756_SANJUAN_CHA-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-1756 RotD50 pSa (g)
0.01,0.04492161,0.04492161,0.04492161,0.04492161
0.02,0.04519228,0.04519228,0.04519228,0.04519228
0.022,0.04526543,0.04526543,0.04526543,0.04526543
0.025,0.046076,0.046076,0.046076,0.046076
0.029,0.04618821,0.04618821,0.04618821,0.04618821
0.03,0.04578153,0.04578153,0.04578153,0.04578153
0.032,0.04669692,0.04669692,0.04669692,0.04669692
0.035,0.04663528,0.04663528,0.04663528,0.04663528
0.036,0.0462179,0.0462179,0.0462179,0.0462179
0.04,0.04833034,0.04833034,0.04833034,0.04833034
0.042,0.04835732,0.04835732,0.04835732,0.04835732
0.044,0.04761202,0.04761202,0.04761202,0.04761202
0.045,0.04732925,0.04732925,0.04732925,0.04732925
0.046,0.04712352,0.04712352,0.04712352,0.04712352
0.048,0.04703689,0.04703689,0.04703689,0.04703689
0.05,0.04803722,0.04803722,0.04803722,0.04803722
0.055,0.05033203,0.05033203,0.05033203,0.05033203
0.06,0.05247142,0.05247142,0.05247142,0.05247142
0.065,0.05445249,0.05445249,0.05445249,0.05445249
0.067,0.05367779,0.05367779,0.05367779,0.05367779
0.07,0.05381582,0.05381582,0.05381582,0.05381582
0.075,0.05828373,0.05828373,0.05828373,0.05828373
0.08,0.06228041,0.06228041,0.06228041,0.06228041
0.085,0.06828578,0.06828578,0.06828578,0.06828578
0.09,0.07419375,0.07419375,0.07419375,0.07419375
0.095,0.08389828,0.08389828,0.08389828,0.08389828
0.1,0.082639,0.082639,0.082639,0.082639
0.11,0.09531736,0.09531736,0.09531736,0.09531736
0.12,0.1003069,0.1003069,0.1003069,0.1003069
0.13,0.09904404,0.09904404,0.09904404,0.09904404
0.133,0.0998321,0.0998321,0.0998321,0.0998321
0.14,0.09650896,0.09650896,0.09650896,0.09650896
0.15,0.090853,0.090853,0.090853,0.090853
0.16,0.09173897,0.09173897,0.09173897,0.09173897
0.17,0.1082537,0.1082537,0.1082537,0.1082537
0.18,0.1205097,0.1205097,0.1205097,0.1205097
0.19,0.1234988,0.1234988,0.1234988,0.1234988
0.2,0.1096037,0.1096037,0.1096037,0.1096037
0.22,0.08957276,0.08957276,0.08957276,0.08957276
0.24,0.09035636,0.09035636,0.09035636,0.09035636
0.25,0.09835565,0.09835565,0.09835565,0.09835565
0.26,0.1006224,0.1006224,0.1006224,0.1006224
0.28,0.1044082,0.1044082,0.1044082,0.1044082
0.29,0.1130038,0.1130038,0.1130038,0.1130038
0.3,0.11319,0.11319,0.11319,0.11319
0.32,0.1153939,0.1153939,0.1153939,0.1153939
0.34,0.118968,0.118968,0.118968,0.118968
0.35,0.1147649,0.1147649,0.1147649,0.1147649
0.36,0.1091176,0.1091176,0.1091176,0.1091176
0.38,0.1203877,0.1203877,0.1203877,0.1203877
0.4,0.1444181,0.1444181,0.1444181,0.1444181
0.42,0.1502551,0.1502551,0.1502551,0.1502551
0.44,0.133454,0.133454,0.133454,0.133454
0.45,0.1247866,0.1247866,0.1247866,0.1247866
0.46,0.1221166,0.1221166,0.1221166,0.1221166
0.48,0.1082051,0.1082051,0.1082051,0.1082051
0.5,0.09453738,0.09453738,0.09453738,0.09453738
0.55,0.07841017,0.07841017,0.07841017,0.07841017
0.6,0.07694756,0.07694756,0.07694756,0.07694756
0.65,0.07415274,0.07415274,0.07415274,0.07415274
0.667,0.07384115,0.07384115,0.07384115,0.07384115
0.7,0.08499004,0.08499004,0.08499004,0.08499004
0.75,0.09324678,0.09324678,0.09324678,0.09324678
0.8,0.1135473,0.1135473,0.1135473,0.1135473
0.85,0.1160674,0.1160674,0.1160674,0.1160674
0.9,0.09167884,0.09167884,0.09167884,0.09167884
0.95,0.08313073,0.08313073,0.08313073,0.08313073
1.0,0.0874123,0.0874123,0.0874123,0.0874123
1.1,0.06563731,0.06563731,0.06563731,0.06563731
1.2,0.05456081,0.05456081,0.05456081,0.05456081
1.3,0.0414918,0.0414918,0.0414918,0.0414918
1.4,0.02725517,0.02725517,0.02725517,0.02725517
1.5,0.02048651,0.02048651,0.02048651,0.02048651
1.6,0.01824851,0.01824851,0.01824851,0.01824851
1.7,0.01674017,0.01674017,0.01674017,0.01674017
1.8,0.01571017,0.01571017,0.01571017,0.01571017
1.9,0.01491974,0.01491974,0.01491974,0.01491974
2.0,0.01235985,0.01235985,0.01235985,0.01235985
2.2,0.00780569,0.00780569,0.00780569,0.00780569
2.4,0.00649531,0.00649531,0.00649531,0.00649531
2.5,0.00669434,0.00669434,0.00669434,0.00669434
2.6,0.00637078,0.00637078,0.00637078,0.00637078
2.8,0.00553954,0.00553954,0.00553954,0.00553954
3.0,0.00431887,0.00431887,0.00431887,0.00431887
3.2,0.00357677,0.00357677,0.00357677,0.00357677
3.4,0.0030253,0.0030253,0.0030253,0.0030253
3.5,0.00280042,0.00280042,0.00280042,0.00280042
3.6,0.00260364,0.00260364,0.00260364,0.00260364
3.8,0.00221457,0.00221457,0.00221457,0.00221457
4.0,0.00186971,0.00186971,0.00186971,0.00186971
4.2,0.00174945,0.00174945,0.00174945,0.00174945
4.4,0.00169467,0.00169467,0.00169467,0.00169467
4.6,0.00156843,0.00156843,0.00156843,0.00156843
4.8,0.00139615,0.00139615,0.00139615,0.00139615
5.0,0.00124826,0.00124826,0.00124826,0.00124826
5.5,0.00093523,0.00093523,0.00093523,0.00093523
6.0,0.00081453,0.00081453,0.00081453,0.00081453
6.5,0.00067016,0.00067016,0.00067016,0.00067016
7.0,0.00055998,0.00055998,0.00055998,0.00055998
7.5,0.00048426,0.00048426,0.00048426,0.00048426
8.0,0.00042275,0.00042275,0.00042275,0.00042275
8.5,0.00037123,0.00037123,0.00037123,0.00037123
9.0,0.0003283,0.0003283,0.0003283,0.0003283
9.5,0.0002919,0.0002919,0.0002919,0.0002919
10.0,0.00026138,0.00026138,0.00026138,0.00026138
11.0,0.00021294,0.00021294,0.00021294,0.00021294
12.0,0.00017652,0.00017652,0.00017652,0.00017652
13.0,0.00014872,0.00014872,0.00014872,0.00014872
14.0,0.00012698,0.00012698,0.00012698,0.00012698
15.0,0.00010966,0.00010966,0.00010966,0.00010966
20.0,5.996e-05,5.996e-05,5.996e-05,5.996e-05

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
