
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1759
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 1759, -, 1.0, -, 20.6, 21.5, 0.0, "Hector Mine", 1999, "12440 Imperial Hwy_ North Grn", 7.13, strike slip, 176.59, 176.59, 276.39, 0.0, 1.0, RSN1759_HECTOR_IMH090.AT2, RSN1759_HECTOR_IMH180.AT2 , RSN1759_HECTOR_IMH-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-1759 RotD50 pSa (g)
0.01,0.0234467,0.0234467,0.0234467,0.0234467
0.02,0.02351446,0.02351446,0.02351446,0.02351446
0.022,0.02352303,0.02352303,0.02352303,0.02352303
0.025,0.02355222,0.02355222,0.02355222,0.02355222
0.029,0.02359019,0.02359019,0.02359019,0.02359019
0.03,0.02360523,0.02360523,0.02360523,0.02360523
0.032,0.02365823,0.02365823,0.02365823,0.02365823
0.035,0.02367473,0.02367473,0.02367473,0.02367473
0.036,0.02369671,0.02369671,0.02369671,0.02369671
0.04,0.02377609,0.02377609,0.02377609,0.02377609
0.042,0.02386749,0.02386749,0.02386749,0.02386749
0.044,0.02390939,0.02390939,0.02390939,0.02390939
0.045,0.0239124,0.0239124,0.0239124,0.0239124
0.046,0.02388762,0.02388762,0.02388762,0.02388762
0.048,0.02384983,0.02384983,0.02384983,0.02384983
0.05,0.02375487,0.02375487,0.02375487,0.02375487
0.055,0.02384914,0.02384914,0.02384914,0.02384914
0.06,0.02413282,0.02413282,0.02413282,0.02413282
0.065,0.02434006,0.02434006,0.02434006,0.02434006
0.067,0.02389957,0.02389957,0.02389957,0.02389957
0.07,0.0245042,0.0245042,0.0245042,0.0245042
0.075,0.02605097,0.02605097,0.02605097,0.02605097
0.08,0.02637661,0.02637661,0.02637661,0.02637661
0.085,0.02619469,0.02619469,0.02619469,0.02619469
0.09,0.02649108,0.02649108,0.02649108,0.02649108
0.095,0.02631716,0.02631716,0.02631716,0.02631716
0.1,0.02735105,0.02735105,0.02735105,0.02735105
0.11,0.02940663,0.02940663,0.02940663,0.02940663
0.12,0.02915822,0.02915822,0.02915822,0.02915822
0.13,0.02943037,0.02943037,0.02943037,0.02943037
0.133,0.03050214,0.03050214,0.03050214,0.03050214
0.14,0.03071791,0.03071791,0.03071791,0.03071791
0.15,0.03045723,0.03045723,0.03045723,0.03045723
0.16,0.03103198,0.03103198,0.03103198,0.03103198
0.17,0.02948317,0.02948317,0.02948317,0.02948317
0.18,0.02933068,0.02933068,0.02933068,0.02933068
0.19,0.03365159,0.03365159,0.03365159,0.03365159
0.2,0.03747152,0.03747152,0.03747152,0.03747152
0.22,0.03904516,0.03904516,0.03904516,0.03904516
0.24,0.04854264,0.04854264,0.04854264,0.04854264
0.25,0.05135578,0.05135578,0.05135578,0.05135578
0.26,0.05817693,0.05817693,0.05817693,0.05817693
0.28,0.0621577,0.0621577,0.0621577,0.0621577
0.29,0.05704664,0.05704664,0.05704664,0.05704664
0.3,0.0559874,0.0559874,0.0559874,0.0559874
0.32,0.05159219,0.05159219,0.05159219,0.05159219
0.34,0.05079117,0.05079117,0.05079117,0.05079117
0.35,0.05597588,0.05597588,0.05597588,0.05597588
0.36,0.05862262,0.05862262,0.05862262,0.05862262
0.38,0.05382731,0.05382731,0.05382731,0.05382731
0.4,0.04988037,0.04988037,0.04988037,0.04988037
0.42,0.04818962,0.04818962,0.04818962,0.04818962
0.44,0.05072665,0.05072665,0.05072665,0.05072665
0.45,0.05109506,0.05109506,0.05109506,0.05109506
0.46,0.04896744,0.04896744,0.04896744,0.04896744
0.48,0.05005845,0.05005845,0.05005845,0.05005845
0.5,0.04989462,0.04989462,0.04989462,0.04989462
0.55,0.05349832,0.05349832,0.05349832,0.05349832
0.6,0.05169595,0.05169595,0.05169595,0.05169595
0.65,0.04111649,0.04111649,0.04111649,0.04111649
0.667,0.04413814,0.04413814,0.04413814,0.04413814
0.7,0.04581086,0.04581086,0.04581086,0.04581086
0.75,0.03759205,0.03759205,0.03759205,0.03759205
0.8,0.03166214,0.03166214,0.03166214,0.03166214
0.85,0.03392151,0.03392151,0.03392151,0.03392151
0.9,0.03429352,0.03429352,0.03429352,0.03429352
0.95,0.03341537,0.03341537,0.03341537,0.03341537
1.0,0.03358363,0.03358363,0.03358363,0.03358363
1.1,0.03873065,0.03873065,0.03873065,0.03873065
1.2,0.0410479,0.0410479,0.0410479,0.0410479
1.3,0.0361555,0.0361555,0.0361555,0.0361555
1.4,0.03227041,0.03227041,0.03227041,0.03227041
1.5,0.02599287,0.02599287,0.02599287,0.02599287
1.6,0.02146137,0.02146137,0.02146137,0.02146137
1.7,0.01462677,0.01462677,0.01462677,0.01462677
1.8,0.01143608,0.01143608,0.01143608,0.01143608
1.9,0.01193872,0.01193872,0.01193872,0.01193872
2.0,0.01251102,0.01251102,0.01251102,0.01251102
2.2,0.01255601,0.01255601,0.01255601,0.01255601
2.4,0.01377327,0.01377327,0.01377327,0.01377327
2.5,0.01390656,0.01390656,0.01390656,0.01390656
2.6,0.01352497,0.01352497,0.01352497,0.01352497
2.8,0.01230545,0.01230545,0.01230545,0.01230545
3.0,0.01102644,0.01102644,0.01102644,0.01102644
3.2,0.00969129,0.00969129,0.00969129,0.00969129
3.4,0.00857701,0.00857701,0.00857701,0.00857701
3.5,0.00798068,0.00798068,0.00798068,0.00798068
3.6,0.00733516,0.00733516,0.00733516,0.00733516
3.8,0.00604583,0.00604583,0.00604583,0.00604583
4.0,0.0050505,0.0050505,0.0050505,0.0050505
4.2,0.00441784,0.00441784,0.00441784,0.00441784
4.4,0.00406484,0.00406484,0.00406484,0.00406484
4.6,0.0037532,0.0037532,0.0037532,0.0037532
4.8,0.00335908,0.00335908,0.00335908,0.00335908
5.0,0.00293025,0.00293025,0.00293025,0.00293025
5.5,0.00217404,0.00217404,0.00217404,0.00217404
6.0,0.00196723,0.00196723,0.00196723,0.00196723
6.5,0.00184122,0.00184122,0.00184122,0.00184122
7.0,0.0015178,0.0015178,0.0015178,0.0015178
7.5,0.00132614,0.00132614,0.00132614,0.00132614
8.0,0.00104055,0.00104055,0.00104055,0.00104055
8.5,0.00099551,0.00099551,0.00099551,0.00099551
9.0,0.00098032,0.00098032,0.00098032,0.00098032
9.5,0.00098723,0.00098723,0.00098723,0.00098723
