
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1843
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 1843, -, 1.0, -, 6.3, 15.3, 0.0, "Yountville", 2000, "APEEL 2 - Redwood City", 5.0, strike slip, 94.18, 94.5, 133.11, 0.195, 1.0, RSN1843_YOUNTVL_A02090.AT2, RSN1843_YOUNTVL_A02360.AT2 , RSN1843_YOUNTVL_A02-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-1843 RotD50 pSa (g)
0.01,0.00802195,0.00802195,0.00802195,0.00802195
0.02,0.00804104,0.00804104,0.00804104,0.00804104
0.022,0.00804732,0.00804732,0.00804732,0.00804732
0.025,0.00805625,0.00805625,0.00805625,0.00805625
0.029,0.00806767,0.00806767,0.00806767,0.00806767
0.03,0.00807147,0.00807147,0.00807147,0.00807147
0.032,0.00808272,0.00808272,0.00808272,0.00808272
0.035,0.00809259,0.00809259,0.00809259,0.00809259
0.036,0.00809451,0.00809451,0.00809451,0.00809451
0.04,0.00811049,0.00811049,0.00811049,0.00811049
0.042,0.00811944,0.00811944,0.00811944,0.00811944
0.044,0.00813954,0.00813954,0.00813954,0.00813954
0.045,0.00815133,0.00815133,0.00815133,0.00815133
0.046,0.00815368,0.00815368,0.00815368,0.00815368
0.048,0.00813271,0.00813271,0.00813271,0.00813271
0.05,0.00815254,0.00815254,0.00815254,0.00815254
0.055,0.00826261,0.00826261,0.00826261,0.00826261
0.06,0.00830606,0.00830606,0.00830606,0.00830606
0.065,0.00845402,0.00845402,0.00845402,0.00845402
0.067,0.00852695,0.00852695,0.00852695,0.00852695
0.07,0.00870134,0.00870134,0.00870134,0.00870134
0.075,0.0087767,0.0087767,0.0087767,0.0087767
0.08,0.00918998,0.00918998,0.00918998,0.00918998
0.085,0.00955423,0.00955423,0.00955423,0.00955423
0.09,0.00988519,0.00988519,0.00988519,0.00988519
0.095,0.0098007,0.0098007,0.0098007,0.0098007
0.1,0.00940507,0.00940507,0.00940507,0.00940507
0.11,0.00967694,0.00967694,0.00967694,0.00967694
0.12,0.01020694,0.01020694,0.01020694,0.01020694
0.13,0.01101385,0.01101385,0.01101385,0.01101385
0.133,0.01112584,0.01112584,0.01112584,0.01112584
0.14,0.01138236,0.01138236,0.01138236,0.01138236
0.15,0.01145613,0.01145613,0.01145613,0.01145613
0.16,0.01254533,0.01254533,0.01254533,0.01254533
0.17,0.0140395,0.0140395,0.0140395,0.0140395
0.18,0.01361698,0.01361698,0.01361698,0.01361698
0.19,0.01211718,0.01211718,0.01211718,0.01211718
0.2,0.01206534,0.01206534,0.01206534,0.01206534
0.22,0.01369733,0.01369733,0.01369733,0.01369733
