
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1868
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 1868, -, 1.0, -, 10.0, 22.3, 0.0, "Big Bear-02", 2001, "Colton - Hospital Complex FF", 4.53, strike slip, 43.48, 44.19, 328.92, 0.39, 1.0, RSN1868_BEARAFT_788BY090.AT2, RSN1868_BEARAFT_788BY360.AT2 , RSN1868_BEARAFT_788BY-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-1868 RotD50 pSa (g)
0.01,0.00193552,0.00193552,0.00193552,0.00193552
0.02,0.00191964,0.00191964,0.00191964,0.00191964
0.022,0.0019607,0.0019607,0.0019607,0.0019607
0.025,0.00203034,0.00203034,0.00203034,0.00203034
0.029,0.0022056,0.0022056,0.0022056,0.0022056
0.03,0.00221212,0.00221212,0.00221212,0.00221212
0.032,0.00224609,0.00224609,0.00224609,0.00224609
0.035,0.00240132,0.00240132,0.00240132,0.00240132
0.036,0.00244108,0.00244108,0.00244108,0.00244108
0.04,0.00272705,0.00272705,0.00272705,0.00272705
0.042,0.00273183,0.00273183,0.00273183,0.00273183
0.044,0.00301944,0.00301944,0.00301944,0.00301944
0.045,0.00302298,0.00302298,0.00302298,0.00302298
0.046,0.00305894,0.00305894,0.00305894,0.00305894
0.048,0.00324131,0.00324131,0.00324131,0.00324131
0.05,0.0037711,0.0037711,0.0037711,0.0037711
0.055,0.00430551,0.00430551,0.00430551,0.00430551
0.06,0.00446538,0.00446538,0.00446538,0.00446538
0.065,0.00449376,0.00449376,0.00449376,0.00449376
0.067,0.00477968,0.00477968,0.00477968,0.00477968
0.07,0.00440263,0.00440263,0.00440263,0.00440263
0.075,0.00433408,0.00433408,0.00433408,0.00433408
0.08,0.00427799,0.00427799,0.00427799,0.00427799
0.085,0.0045935,0.0045935,0.0045935,0.0045935
0.09,0.00489957,0.00489957,0.00489957,0.00489957
0.095,0.00584744,0.00584744,0.00584744,0.00584744
0.1,0.00698674,0.00698674,0.00698674,0.00698674
0.11,0.00568645,0.00568645,0.00568645,0.00568645
0.12,0.00432093,0.00432093,0.00432093,0.00432093
0.13,0.003923,0.003923,0.003923,0.003923
0.133,0.00374435,0.00374435,0.00374435,0.00374435
0.14,0.00388847,0.00388847,0.00388847,0.00388847
0.15,0.00347863,0.00347863,0.00347863,0.00347863
0.16,0.00350527,0.00350527,0.00350527,0.00350527
0.17,0.00374965,0.00374965,0.00374965,0.00374965
0.18,0.00370161,0.00370161,0.00370161,0.00370161
0.19,0.00330037,0.00330037,0.00330037,0.00330037
0.2,0.00325598,0.00325598,0.00325598,0.00325598
0.22,0.00283506,0.00283506,0.00283506,0.00283506
0.24,0.00275767,0.00275767,0.00275767,0.00275767
0.25,0.00291362,0.00291362,0.00291362,0.00291362
