
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1917
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 1917, -, 1.0, -, 3.2, 10.1, 0.0, "Anza-02", 2001, "Alpine Fire Station", 4.92, Normal Oblique, 76.9, 77.91, 567.81, 0.39, 1.0, RSN1917_ANZA1_02467360.AT2, RSN1917_ANZA1_02467090.AT2 , RSN1917_ANZA1_02467-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-1917 RotD50 pSa (g)
0.01,0.01274973,0.01274973,0.01274973,0.01274973
0.02,0.01289655,0.01289655,0.01289655,0.01289655
0.022,0.01349599,0.01349599,0.01349599,0.01349599
0.025,0.01537871,0.01537871,0.01537871,0.01537871
0.029,0.01818601,0.01818601,0.01818601,0.01818601
0.03,0.0183072,0.0183072,0.0183072,0.0183072
0.032,0.02062528,0.02062528,0.02062528,0.02062528
0.035,0.02327004,0.02327004,0.02327004,0.02327004
0.036,0.02441456,0.02441456,0.02441456,0.02441456
0.04,0.03170128,0.03170128,0.03170128,0.03170128
0.042,0.03263959,0.03263959,0.03263959,0.03263959
0.044,0.03110964,0.03110964,0.03110964,0.03110964
0.045,0.0300901,0.0300901,0.0300901,0.0300901
0.046,0.02959453,0.02959453,0.02959453,0.02959453
0.048,0.02777654,0.02777654,0.02777654,0.02777654
0.05,0.02622707,0.02622707,0.02622707,0.02622707
0.055,0.02693848,0.02693848,0.02693848,0.02693848
0.06,0.0320337,0.0320337,0.0320337,0.0320337
0.065,0.04120869,0.04120869,0.04120869,0.04120869
0.067,0.04418623,0.04418623,0.04418623,0.04418623
0.07,0.04920647,0.04920647,0.04920647,0.04920647
0.075,0.04815832,0.04815832,0.04815832,0.04815832
0.08,0.04944961,0.04944961,0.04944961,0.04944961
0.085,0.03666115,0.03666115,0.03666115,0.03666115
0.09,0.02675892,0.02675892,0.02675892,0.02675892
0.095,0.0243295,0.0243295,0.0243295,0.0243295
0.1,0.02595,0.02595,0.02595,0.02595
0.11,0.02125122,0.02125122,0.02125122,0.02125122
0.12,0.01614204,0.01614204,0.01614204,0.01614204
0.13,0.01378155,0.01378155,0.01378155,0.01378155
0.133,0.01367879,0.01367879,0.01367879,0.01367879
0.14,0.01302282,0.01302282,0.01302282,0.01302282
0.15,0.01149745,0.01149745,0.01149745,0.01149745
0.16,0.01233679,0.01233679,0.01233679,0.01233679
0.17,0.01450059,0.01450059,0.01450059,0.01450059
0.18,0.01611684,0.01611684,0.01611684,0.01611684
0.19,0.01735004,0.01735004,0.01735004,0.01735004
0.2,0.01563203,0.01563203,0.01563203,0.01563203
0.22,0.01276736,0.01276736,0.01276736,0.01276736
0.24,0.01318561,0.01318561,0.01318561,0.01318561
0.25,0.01373628,0.01373628,0.01373628,0.01373628
0.26,0.0136935,0.0136935,0.0136935,0.0136935
0.28,0.01216084,0.01216084,0.01216084,0.01216084
0.29,0.01205434,0.01205434,0.01205434,0.01205434
0.3,0.0112578,0.0112578,0.0112578,0.0112578
0.32,0.00764583,0.00764583,0.00764583,0.00764583
0.34,0.00635994,0.00635994,0.00635994,0.00635994
0.35,0.00643744,0.00643744,0.00643744,0.00643744
0.36,0.00605944,0.00605944,0.00605944,0.00605944
0.38,0.00502049,0.00502049,0.00502049,0.00502049
0.4,0.00432358,0.00432358,0.00432358,0.00432358
0.42,0.00398996,0.00398996,0.00398996,0.00398996
0.44,0.00348875,0.00348875,0.00348875,0.00348875
0.45,0.00333879,0.00333879,0.00333879,0.00333879
0.46,0.00318239,0.00318239,0.00318239,0.00318239
0.48,0.00298792,0.00298792,0.00298792,0.00298792
0.5,0.00287656,0.00287656,0.00287656,0.00287656
0.55,0.00266468,0.00266468,0.00266468,0.00266468
0.6,0.00186448,0.00186448,0.00186448,0.00186448
0.65,0.00138824,0.00138824,0.00138824,0.00138824
0.667,0.00131263,0.00131263,0.00131263,0.00131263
0.7,0.00150988,0.00150988,0.00150988,0.00150988
0.75,0.00160668,0.00160668,0.00160668,0.00160668
0.8,0.00130028,0.00130028,0.00130028,0.00130028
