
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1990
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 1990, -, 1.0, -, 11.1, 51.9, 0.0, "Gulf of California", 2001, "Bonds Corner", 5.7, strike slip, 79.35, 79.65, 223.03, 0.104, 1.0, RSN1990_GULFCA_BCR090.AT2, RSN1990_GULFCA_BCR360.AT2 , RSN1990_GULFCA_BCR-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-1990 RotD50 pSa (g)
0.01,0.05036423,0.05036423,0.05036423,0.05036423
0.02,0.05095095,0.05095095,0.05095095,0.05095095
0.022,0.05110072,0.05110072,0.05110072,0.05110072
0.025,0.0513732,0.0513732,0.0513732,0.0513732
0.029,0.05169787,0.05169787,0.05169787,0.05169787
0.03,0.05175647,0.05175647,0.05175647,0.05175647
0.032,0.05176339,0.05176339,0.05176339,0.05176339
0.035,0.0521111,0.0521111,0.0521111,0.0521111
0.036,0.05219771,0.05219771,0.05219771,0.05219771
0.04,0.05410204,0.05410204,0.05410204,0.05410204
0.042,0.0560603,0.0560603,0.0560603,0.0560603
0.044,0.05770934,0.05770934,0.05770934,0.05770934
0.045,0.05897077,0.05897077,0.05897077,0.05897077
0.046,0.06006787,0.06006787,0.06006787,0.06006787
0.048,0.06107724,0.06107724,0.06107724,0.06107724
0.05,0.06177494,0.06177494,0.06177494,0.06177494
0.055,0.0602016,0.0602016,0.0602016,0.0602016
0.06,0.06395206,0.06395206,0.06395206,0.06395206
0.065,0.07048191,0.07048191,0.07048191,0.07048191
0.067,0.0696252,0.0696252,0.0696252,0.0696252
0.07,0.07284566,0.07284566,0.07284566,0.07284566
0.075,0.07950541,0.07950541,0.07950541,0.07950541
0.08,0.08895425,0.08895425,0.08895425,0.08895425
0.085,0.093747,0.093747,0.093747,0.093747
0.09,0.1001624,0.1001624,0.1001624,0.1001624
0.095,0.1083279,0.1083279,0.1083279,0.1083279
0.1,0.1194298,0.1194298,0.1194298,0.1194298
0.11,0.1388832,0.1388832,0.1388832,0.1388832
0.12,0.1217107,0.1217107,0.1217107,0.1217107
0.13,0.1213396,0.1213396,0.1213396,0.1213396
0.133,0.108683,0.108683,0.108683,0.108683
0.14,0.1004582,0.1004582,0.1004582,0.1004582
0.15,0.09675786,0.09675786,0.09675786,0.09675786
0.16,0.08456396,0.08456396,0.08456396,0.08456396
0.17,0.08421569,0.08421569,0.08421569,0.08421569
0.18,0.08677462,0.08677462,0.08677462,0.08677462
0.19,0.08766695,0.08766695,0.08766695,0.08766695
0.2,0.09383839,0.09383839,0.09383839,0.09383839
0.22,0.1102926,0.1102926,0.1102926,0.1102926
