
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 2002
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 2002, -, 1.0, -, 31.6, 57.6, 0.0, "CA/Baja Border Area", 2002, "Brawley Airport", 5.31, strike slip, 74.44, 74.56, 208.71, 0.104, 1.0, RSN2002_CABAJA_BRA090.AT2, RSN2002_CABAJA_BRA360.AT2 , RSN2002_CABAJA_BRA-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-2002 RotD50 pSa (g)
0.01,0.02748573,0.02748573,0.02748573,0.02748573
0.02,0.02775554,0.02775554,0.02775554,0.02775554
0.022,0.02782184,0.02782184,0.02782184,0.02782184
0.025,0.02798054,0.02798054,0.02798054,0.02798054
0.029,0.02831948,0.02831948,0.02831948,0.02831948
0.03,0.02840038,0.02840038,0.02840038,0.02840038
0.032,0.02852958,0.02852958,0.02852958,0.02852958
0.035,0.0293357,0.0293357,0.0293357,0.0293357
0.036,0.02974889,0.02974889,0.02974889,0.02974889
0.04,0.02945008,0.02945008,0.02945008,0.02945008
0.042,0.02931113,0.02931113,0.02931113,0.02931113
0.044,0.02983309,0.02983309,0.02983309,0.02983309
0.045,0.03023958,0.03023958,0.03023958,0.03023958
0.046,0.03069739,0.03069739,0.03069739,0.03069739
0.048,0.03184184,0.03184184,0.03184184,0.03184184
0.05,0.03237424,0.03237424,0.03237424,0.03237424
0.055,0.03357992,0.03357992,0.03357992,0.03357992
0.06,0.03388054,0.03388054,0.03388054,0.03388054
0.065,0.03470789,0.03470789,0.03470789,0.03470789
0.067,0.03625262,0.03625262,0.03625262,0.03625262
0.07,0.03880005,0.03880005,0.03880005,0.03880005
0.075,0.04299337,0.04299337,0.04299337,0.04299337
0.08,0.04452194,0.04452194,0.04452194,0.04452194
0.085,0.04781081,0.04781081,0.04781081,0.04781081
0.09,0.05012055,0.05012055,0.05012055,0.05012055
0.095,0.04931824,0.04931824,0.04931824,0.04931824
0.1,0.05294089,0.05294089,0.05294089,0.05294089
0.11,0.06200685,0.06200685,0.06200685,0.06200685
0.12,0.07000376,0.07000376,0.07000376,0.07000376
0.13,0.0757127,0.0757127,0.0757127,0.0757127
0.133,0.07692005,0.07692005,0.07692005,0.07692005
0.14,0.07722336,0.07722336,0.07722336,0.07722336
0.15,0.06858141,0.06858141,0.06858141,0.06858141
0.16,0.06066772,0.06066772,0.06066772,0.06066772
0.17,0.05298699,0.05298699,0.05298699,0.05298699
0.18,0.04856176,0.04856176,0.04856176,0.04856176
0.19,0.04971156,0.04971156,0.04971156,0.04971156
0.2,0.05235481,0.05235481,0.05235481,0.05235481
0.22,0.05892402,0.05892402,0.05892402,0.05892402
0.24,0.06071076,0.06071076,0.06071076,0.06071076
0.25,0.05787676,0.05787676,0.05787676,0.05787676
0.26,0.05423663,0.05423663,0.05423663,0.05423663
0.28,0.05069174,0.05069174,0.05069174,0.05069174
0.29,0.0502798,0.0502798,0.0502798,0.0502798
0.3,0.04921755,0.04921755,0.04921755,0.04921755
0.32,0.0458239,0.0458239,0.0458239,0.0458239
0.34,0.04248906,0.04248906,0.04248906,0.04248906
0.35,0.0415502,0.0415502,0.0415502,0.0415502
0.36,0.04055569,0.04055569,0.04055569,0.04055569
0.38,0.03735038,0.03735038,0.03735038,0.03735038
0.4,0.03375324,0.03375324,0.03375324,0.03375324
0.42,0.03040906,0.03040906,0.03040906,0.03040906
0.44,0.02840077,0.02840077,0.02840077,0.02840077
0.45,0.03101356,0.03101356,0.03101356,0.03101356
0.46,0.03200787,0.03200787,0.03200787,0.03200787
0.48,0.03047999,0.03047999,0.03047999,0.03047999
0.5,0.02773875,0.02773875,0.02773875,0.02773875
0.55,0.02475728,0.02475728,0.02475728,0.02475728
0.6,0.02027647,0.02027647,0.02027647,0.02027647
0.65,0.0185597,0.0185597,0.0185597,0.0185597
0.667,0.0180262,0.0180262,0.0180262,0.0180262
0.7,0.01811898,0.01811898,0.01811898,0.01811898
0.75,0.01985316,0.01985316,0.01985316,0.01985316
0.8,0.02184464,0.02184464,0.02184464,0.02184464
0.85,0.02144275,0.02144275,0.02144275,0.02144275
0.9,0.02126469,0.02126469,0.02126469,0.02126469
0.95,0.01850701,0.01850701,0.01850701,0.01850701
1.0,0.01414839,0.01414839,0.01414839,0.01414839
1.1,0.01365269,0.01365269,0.01365269,0.01365269
1.2,0.01281297,0.01281297,0.01281297,0.01281297
1.3,0.01137336,0.01137336,0.01137336,0.01137336
1.4,0.01128039,0.01128039,0.01128039,0.01128039
1.5,0.00842293,0.00842293,0.00842293,0.00842293
1.6,0.00935592,0.00935592,0.00935592,0.00935592
1.7,0.00848346,0.00848346,0.00848346,0.00848346
1.8,0.00657666,0.00657666,0.00657666,0.00657666
1.9,0.00580639,0.00580639,0.00580639,0.00580639
2.0,0.0050993,0.0050993,0.0050993,0.0050993
2.2,0.00414507,0.00414507,0.00414507,0.00414507
2.4,0.0045559,0.0045559,0.0045559,0.0045559
2.5,0.00426901,0.00426901,0.00426901,0.00426901
