
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 2011
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 2011, -, 1.0, -, 10.8, 19.5, 0.0, "Gilroy", 2002, "Alameda - Oakland Airport FS #4", 4.9, strike slip, 101.96, 102.42, 220.2, 0.325, 1.0, RSN2011_GILROY2_OFS180.AT2, RSN2011_GILROY2_OFS270.AT2 , RSN2011_GILROY2_OFS-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-2011 RotD50 pSa (g)
0.01,0.00558037,0.00558037,0.00558037,0.00558037
0.02,0.00560804,0.00560804,0.00560804,0.00560804
0.022,0.00562009,0.00562009,0.00562009,0.00562009
0.025,0.00563744,0.00563744,0.00563744,0.00563744
0.029,0.00563658,0.00563658,0.00563658,0.00563658
0.03,0.00563163,0.00563163,0.00563163,0.00563163
0.032,0.00564112,0.00564112,0.00564112,0.00564112
0.035,0.00566427,0.00566427,0.00566427,0.00566427
0.036,0.00566786,0.00566786,0.00566786,0.00566786
0.04,0.00571773,0.00571773,0.00571773,0.00571773
0.042,0.00578914,0.00578914,0.00578914,0.00578914
0.044,0.00584204,0.00584204,0.00584204,0.00584204
0.045,0.00585584,0.00585584,0.00585584,0.00585584
0.046,0.00587436,0.00587436,0.00587436,0.00587436
0.048,0.00592357,0.00592357,0.00592357,0.00592357
0.05,0.00592757,0.00592757,0.00592757,0.00592757
0.055,0.00604152,0.00604152,0.00604152,0.00604152
0.06,0.00610363,0.00610363,0.00610363,0.00610363
0.065,0.00614227,0.00614227,0.00614227,0.00614227
0.067,0.00620425,0.00620425,0.00620425,0.00620425
0.07,0.00658254,0.00658254,0.00658254,0.00658254
0.075,0.00685496,0.00685496,0.00685496,0.00685496
0.08,0.00708899,0.00708899,0.00708899,0.00708899
0.085,0.00723955,0.00723955,0.00723955,0.00723955
0.09,0.00750405,0.00750405,0.00750405,0.00750405
0.095,0.00773682,0.00773682,0.00773682,0.00773682
0.1,0.00847086,0.00847086,0.00847086,0.00847086
0.11,0.01075559,0.01075559,0.01075559,0.01075559
0.12,0.01241354,0.01241354,0.01241354,0.01241354
0.13,0.01349788,0.01349788,0.01349788,0.01349788
0.133,0.01416266,0.01416266,0.01416266,0.01416266
0.14,0.01436295,0.01436295,0.01436295,0.01436295
0.15,0.01513634,0.01513634,0.01513634,0.01513634
0.16,0.01870182,0.01870182,0.01870182,0.01870182
0.17,0.02177064,0.02177064,0.02177064,0.02177064
0.18,0.02276892,0.02276892,0.02276892,0.02276892
0.19,0.01929415,0.01929415,0.01929415,0.01929415
0.2,0.01744929,0.01744929,0.01744929,0.01744929
0.22,0.01701435,0.01701435,0.01701435,0.01701435
0.24,0.01680564,0.01680564,0.01680564,0.01680564
0.25,0.01646989,0.01646989,0.01646989,0.01646989
0.26,0.01637213,0.01637213,0.01637213,0.01637213
0.28,0.01566725,0.01566725,0.01566725,0.01566725
0.29,0.01614621,0.01614621,0.01614621,0.01614621
0.3,0.01583451,0.01583451,0.01583451,0.01583451
0.32,0.01703686,0.01703686,0.01703686,0.01703686
0.34,0.01414849,0.01414849,0.01414849,0.01414849
0.35,0.01386549,0.01386549,0.01386549,0.01386549
0.36,0.01243771,0.01243771,0.01243771,0.01243771
0.38,0.01026321,0.01026321,0.01026321,0.01026321
0.4,0.01017311,0.01017311,0.01017311,0.01017311
0.42,0.01025928,0.01025928,0.01025928,0.01025928
0.44,0.00955012,0.00955012,0.00955012,0.00955012
0.45,0.00934559,0.00934559,0.00934559,0.00934559
0.46,0.00921083,0.00921083,0.00921083,0.00921083
0.48,0.00919541,0.00919541,0.00919541,0.00919541
0.5,0.0099986,0.0099986,0.0099986,0.0099986
0.55,0.0088428,0.0088428,0.0088428,0.0088428
0.6,0.00755629,0.00755629,0.00755629,0.00755629
0.65,0.00548322,0.00548322,0.00548322,0.00548322
0.667,0.00506701,0.00506701,0.00506701,0.00506701
0.7,0.00482863,0.00482863,0.00482863,0.00482863
0.75,0.00390795,0.00390795,0.00390795,0.00390795
0.8,0.00345919,0.00345919,0.00345919,0.00345919
0.85,0.00324102,0.00324102,0.00324102,0.00324102
0.9,0.00307747,0.00307747,0.00307747,0.00307747
0.95,0.00326274,0.00326274,0.00326274,0.00326274
1.0,0.00290518,0.00290518,0.00290518,0.00290518
1.1,0.0024085,0.0024085,0.0024085,0.0024085
1.2,0.00203018,0.00203018,0.00203018,0.00203018
1.3,0.00225484,0.00225484,0.00225484,0.00225484
1.4,0.0021046,0.0021046,0.0021046,0.0021046
1.5,0.00188491,0.00188491,0.00188491,0.00188491
1.6,0.00193564,0.00193564,0.00193564,0.00193564
1.7,0.00203633,0.00203633,0.00203633,0.00203633
1.8,0.00221074,0.00221074,0.00221074,0.00221074
1.9,0.00223013,0.00223013,0.00223013,0.00223013
2.0,0.002076,0.002076,0.002076,0.002076
2.2,0.00157837,0.00157837,0.00157837,0.00157837
2.4,0.00160013,0.00160013,0.00160013,0.00160013
2.5,0.00139406,0.00139406,0.00139406,0.00139406
2.6,0.00122207,0.00122207,0.00122207,0.00122207
2.8,0.00116703,0.00116703,0.00116703,0.00116703
3.0,0.00096009,0.00096009,0.00096009,0.00096009
3.2,0.00076445,0.00076445,0.00076445,0.00076445
3.4,0.00060992,0.00060992,0.00060992,0.00060992
3.5,0.00053021,0.00053021,0.00053021,0.00053021
3.6,0.00046952,0.00046952,0.00046952,0.00046952
3.8,0.00036874,0.00036874,0.00036874,0.00036874
4.0,0.00028328,0.00028328,0.00028328,0.00028328
4.2,0.00022012,0.00022012,0.00022012,0.00022012
4.4,0.0001834,0.0001834,0.0001834,0.0001834
4.6,0.00015837,0.00015837,0.00015837,0.00015837
4.8,0.00014417,0.00014417,0.00014417,0.00014417
5.0,0.00013139,0.00013139,0.00013139,0.00013139
5.5,0.00010303,0.00010303,0.00010303,0.00010303
6.0,8.237e-05,8.237e-05,8.237e-05,8.237e-05
6.5,6.715e-05,6.715e-05,6.715e-05,6.715e-05
7.0,5.712e-05,5.712e-05,5.712e-05,5.712e-05
7.5,4.891e-05,4.891e-05,4.891e-05,4.891e-05
8.0,4.214e-05,4.214e-05,4.214e-05,4.214e-05
8.5,3.644e-05,3.644e-05,3.644e-05,3.644e-05
9.0,3.188e-05,3.188e-05,3.188e-05,3.188e-05
9.5,2.82e-05,2.82e-05,2.82e-05,2.82e-05
10.0,2.534e-05,2.534e-05,2.534e-05,2.534e-05
11.0,2.084e-05,2.084e-05,2.084e-05,2.084e-05
12.0,1.737e-05,1.737e-05,1.737e-05,1.737e-05
13.0,1.469e-05,1.469e-05,1.469e-05,1.469e-05
14.0,1.258e-05,1.258e-05,1.258e-05,1.258e-05
15.0,1.088e-05,1.088e-05,1.088e-05,1.088e-05
20.0,6.02e-06,6.02e-06,6.02e-06,6.02e-06

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-2011 Horizontal-1 pSa (g),RSN-2011 Horizontal-2 pSa (g),RSN-2011 Vertical pSa (g)
0.01,0.00592235,0.00555635,0.00161
0.02,0.00596739,0.00558309,0.00165
0.022,0.0059805,0.00559812,0.00166
0.025,0.00600156,0.00562334,0.00169
0.029,0.00603477,0.00563134,0.00179
0.03,0.00604188,0.00562104,0.00181
0.032,0.00605779,0.00564545,0.00192
0.035,0.00603071,0.00569767,0.00203
0.036,0.00605331,0.00569569,0.00213
0.04,0.00614436,0.00565522,0.00232
