
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 2047
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 2047, -, 1.0, -, 9.1, 22.1, 0.0, "Yorba Linda", 2002, "Anaheim - Brookhurst & Crescent", 4.265, strike slip, 18.17, 19.14, 275.12, 0.39, 1.0, RSN2047_YLINDA_13066025.AT2, RSN2047_YLINDA_13066115.AT2 , RSN2047_YLINDA_13066-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-2047 RotD50 pSa (g)
0.01,0.01211068,0.01211068,0.01211068,0.01211068
0.02,0.01198016,0.01198016,0.01198016,0.01198016
0.022,0.01202117,0.01202117,0.01202117,0.01202117
0.025,0.01210123,0.01210123,0.01210123,0.01210123
0.029,0.01220472,0.01220472,0.01220472,0.01220472
0.03,0.01225554,0.01225554,0.01225554,0.01225554
0.032,0.01243917,0.01243917,0.01243917,0.01243917
0.035,0.01235622,0.01235622,0.01235622,0.01235622
0.036,0.01232477,0.01232477,0.01232477,0.01232477
0.04,0.01294228,0.01294228,0.01294228,0.01294228
0.042,0.01309895,0.01309895,0.01309895,0.01309895
0.044,0.01342212,0.01342212,0.01342212,0.01342212
0.045,0.01356802,0.01356802,0.01356802,0.01356802
0.046,0.0136271,0.0136271,0.0136271,0.0136271
0.048,0.0135997,0.0135997,0.0135997,0.0135997
0.05,0.01299839,0.01299839,0.01299839,0.01299839
0.055,0.01555027,0.01555027,0.01555027,0.01555027
0.06,0.01795748,0.01795748,0.01795748,0.01795748
0.065,0.02109036,0.02109036,0.02109036,0.02109036
0.067,0.022868,0.022868,0.022868,0.022868
0.07,0.02400198,0.02400198,0.02400198,0.02400198
0.075,0.02511757,0.02511757,0.02511757,0.02511757
0.08,0.02442058,0.02442058,0.02442058,0.02442058
0.085,0.02808828,0.02808828,0.02808828,0.02808828
0.09,0.03152028,0.03152028,0.03152028,0.03152028
0.095,0.04036323,0.04036323,0.04036323,0.04036323
0.1,0.04380644,0.04380644,0.04380644,0.04380644
0.11,0.03918272,0.03918272,0.03918272,0.03918272
0.12,0.03711996,0.03711996,0.03711996,0.03711996
0.13,0.0387532,0.0387532,0.0387532,0.0387532
0.133,0.03773456,0.03773456,0.03773456,0.03773456
0.14,0.0389469,0.0389469,0.0389469,0.0389469
0.15,0.03981872,0.03981872,0.03981872,0.03981872
0.16,0.03329363,0.03329363,0.03329363,0.03329363
0.17,0.03381949,0.03381949,0.03381949,0.03381949
0.18,0.03005056,0.03005056,0.03005056,0.03005056
0.19,0.02985865,0.02985865,0.02985865,0.02985865
0.2,0.02840913,0.02840913,0.02840913,0.02840913
0.22,0.02598272,0.02598272,0.02598272,0.02598272
0.24,0.02178497,0.02178497,0.02178497,0.02178497
0.25,0.02055905,0.02055905,0.02055905,0.02055905
0.26,0.01977439,0.01977439,0.01977439,0.01977439
0.28,0.01772814,0.01772814,0.01772814,0.01772814
0.29,0.01689266,0.01689266,0.01689266,0.01689266
0.3,0.01744772,0.01744772,0.01744772,0.01744772
0.32,0.01946202,0.01946202,0.01946202,0.01946202
0.34,0.02022749,0.02022749,0.02022749,0.02022749
0.35,0.02070995,0.02070995,0.02070995,0.02070995
0.36,0.02216257,0.02216257,0.02216257,0.02216257
0.38,0.0216122,0.0216122,0.0216122,0.0216122
0.4,0.01813743,0.01813743,0.01813743,0.01813743
0.42,0.01478135,0.01478135,0.01478135,0.01478135
0.44,0.01310989,0.01310989,0.01310989,0.01310989
0.45,0.01300391,0.01300391,0.01300391,0.01300391
0.46,0.01269985,0.01269985,0.01269985,0.01269985
0.48,0.01134591,0.01134591,0.01134591,0.01134591
0.5,0.01141179,0.01141179,0.01141179,0.01141179
0.55,0.01299507,0.01299507,0.01299507,0.01299507
0.6,0.01315743,0.01315743,0.01315743,0.01315743
0.65,0.01121468,0.01121468,0.01121468,0.01121468
0.667,0.01036572,0.01036572,0.01036572,0.01036572
0.7,0.00973836,0.00973836,0.00973836,0.00973836
0.75,0.00917056,0.00917056,0.00917056,0.00917056
0.8,0.00918233,0.00918233,0.00918233,0.00918233
0.85,0.00770224,0.00770224,0.00770224,0.00770224
0.9,0.00760148,0.00760148,0.00760148,0.00760148
0.95,0.00734907,0.00734907,0.00734907,0.00734907
1.0,0.00739177,0.00739177,0.00739177,0.00739177
1.1,0.00657834,0.00657834,0.00657834,0.00657834
1.2,0.00466037,0.00466037,0.00466037,0.00466037
1.3,0.0039725,0.0039725,0.0039725,0.0039725
1.4,0.00351367,0.00351367,0.00351367,0.00351367
1.5,0.00272153,0.00272153,0.00272153,0.00272153
1.6,0.0019393,0.0019393,0.0019393,0.0019393
1.7,0.00171038,0.00171038,0.00171038,0.00171038
1.8,0.00187995,0.00187995,0.00187995,0.00187995
1.9,0.00180854,0.00180854,0.00180854,0.00180854
2.0,0.00161879,0.00161879,0.00161879,0.00161879
2.2,0.0010234,0.0010234,0.0010234,0.0010234
2.4,0.00083954,0.00083954,0.00083954,0.00083954
2.5,0.00073336,0.00073336,0.00073336,0.00073336
2.6,0.00062343,0.00062343,0.00062343,0.00062343
2.8,0.00049388,0.00049388,0.00049388,0.00049388
3.0,0.00046917,0.00046917,0.00046917,0.00046917
3.2,0.00037558,0.00037558,0.00037558,0.00037558
3.4,0.0003171,0.0003171,0.0003171,0.0003171
3.5,0.00029986,0.00029986,0.00029986,0.00029986
3.6,0.0002869,0.0002869,0.0002869,0.0002869
3.8,0.00026221,0.00026221,0.00026221,0.00026221
4.0,0.00023785,0.00023785,0.00023785,0.00023785
4.2,0.00021518,0.00021518,0.00021518,0.00021518
4.4,0.00019537,0.00019537,0.00019537,0.00019537
4.6,0.00017718,0.00017718,0.00017718,0.00017718
4.8,0.00016119,0.00016119,0.00016119,0.00016119
5.0,0.00014674,0.00014674,0.00014674,0.00014674
5.5,0.00011782,0.00011782,0.00011782,0.00011782
6.0,9.641e-05,9.641e-05,9.641e-05,9.641e-05
6.5,8.065e-05,8.065e-05,8.065e-05,8.065e-05
7.0,6.86e-05,6.86e-05,6.86e-05,6.86e-05
7.5,5.93e-05,5.93e-05,5.93e-05,5.93e-05
8.0,5.188e-05,5.188e-05,5.188e-05,5.188e-05
8.5,4.586e-05,4.586e-05,4.586e-05,4.586e-05
9.0,4.078e-05,4.078e-05,4.078e-05,4.078e-05
9.5,3.653e-05,3.653e-05,3.653e-05,3.653e-05
10.0,3.294e-05,3.294e-05,3.294e-05,3.294e-05
11.0,2.715e-05,2.715e-05,2.715e-05,2.715e-05
12.0,2.276e-05,2.276e-05,2.276e-05,2.276e-05
13.0,1.936e-05,1.936e-05,1.936e-05,1.936e-05
14.0,1.666e-05,1.666e-05,1.666e-05,1.666e-05
15.0,1.449e-05,1.449e-05,1.449e-05,1.449e-05
20.0,8.11e-06,8.11e-06,8.11e-06,8.11e-06

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-2047 Horizontal-1 pSa (g),RSN-2047 Horizontal-2 pSa (g),RSN-2047 Vertical pSa (g)
0.01,0.01204863,0.01062771,0.0134
0.02,0.01184861,0.01046296,0.0132
0.022,0.01189625,0.01048954,0.0134
0.025,0.01196072,0.01052766,0.0138
0.029,0.01203245,0.01060952,0.0145
0.03,0.01209459,0.01062288,0.0148
0.032,0.01219802,0.01049462,0.0154
0.035,0.01208439,0.01080158,0.0165
0.036,0.012123,0.01089816,0.0168
0.04,0.01233242,0.01083216,0.0192
0.042,0.01253329,0.01127772,0.0187
0.044,0.01278013,0.01182132,0.0188
0.045,0.01273584,0.01203709,0.0193
0.046,0.01264244,0.01222076,0.0205
0.048,0.0130735,0.01230144,0.0251
0.05,0.01329083,0.01215388,0.0275
0.055,0.01557969,0.01305644,0.0329
0.06,0.02186268,0.01196984,0.0452
0.065,0.02699059,0.01429776,0.0465
0.067,0.02854619,0.0146353,0.046
0.07,0.03208278,0.01619172,0.044
0.075,0.03063713,0.01981785,0.0401
0.08,0.02852614,0.02102791,0.0363
0.085,0.02920614,0.02524381,0.0363
0.09,0.03733564,0.02627844,0.0403
0.095,0.04831894,0.0302908,0.0415
0.1,0.05266126,0.029307,0.0406
0.11,0.05231842,0.02295908,0.0483
0.12,0.04229182,0.03181626,0.0546
0.13,0.03775097,0.0397006,0.0477
0.133,0.03490212,0.04021301,0.0458
0.14,0.04153423,0.03762659,0.0421
0.15,0.04329469,0.03770084,0.0336
0.16,0.03837091,0.03020649,0.0298
0.17,0.03866931,0.03021743,0.0302
0.18,0.03735317,0.02246764,0.0279
0.19,0.03816259,0.02632485,0.0268
0.2,0.03427307,0.02809501,0.0185
0.22,0.02355057,0.02708459,0.0153
0.24,0.02499886,0.01791404,0.0148
0.25,0.02720308,0.01864152,0.0121
0.26,0.02741985,0.01873147,0.0122
0.28,0.01910303,0.0174053,0.0112
0.29,0.01746747,0.01654677,0.0123
0.3,0.01735833,0.01735453,0.0115
0.32,0.02063861,0.01840546,0.0134
0.34,0.02076252,0.02029167,0.0104
0.35,0.01961324,0.02211766,0.00882
0.36,0.01851377,0.02537358,0.00843
0.38,0.01519075,0.02799458,0.00739
0.4,0.01746881,0.02179095,0.0062
0.42,0.01518906,0.01557235,0.00534
0.44,0.01366664,0.01253816,0.00457
0.45,0.01294737,0.01256367,0.00426
0.46,0.01290341,0.01246502,0.00425
0.48,0.01122671,0.01195227,0.00397
0.5,0.01155436,0.01150667,0.00365
0.55,0.014622,0.01203978,0.00389
0.6,0.01703142,0.01147756,0.00617
0.65,0.01523447,0.01040385,0.00651
0.667,0.01399405,0.01010859,0.00651
0.7,0.01212663,0.0096716,0.00617
0.75,0.01049185,0.00886628,0.0046
0.8,0.00953112,0.00828438,0.0035
0.85,0.00776564,0.00768989,0.00282
0.9,0.00718153,0.00801197,0.00291
0.95,0.00986589,0.00648701,0.00267
1.0,0.00991685,0.00608828,0.00211
1.1,0.00873733,0.00529704,0.00271
1.2,0.00458995,0.00571214,0.00201
1.3,0.00316362,0.00488239,0.0018
1.4,0.00274317,0.00395927,0.00157
1.5,0.00255158,0.00290673,0.00131
1.6,0.00222122,0.00195905,0.00123
1.7,0.00223044,0.00169116,0.00114
1.8,0.00225999,0.00155311,0.00102
1.9,0.00209259,0.0015351,0.000881
2.0,0.00166085,0.00159006,0.000827
2.2,0.00101066,0.00104021,0.000682
2.4,0.00085703,0.00065097,0.000489
2.5,0.00081838,0.0005792,0.000437
2.6,0.00077511,0.00054105,0.000347
2.8,0.00063331,0.00047403,0.000222
3.0,0.00047377,0.00041725,0.000162
3.2,0.00035422,0.00036913,0.000126
3.4,0.00030247,0.00032819,0.000139
3.5,0.00027172,0.00031002,0.000132
3.6,0.0002418,0.0002933,0.000124
3.8,0.00021966,0.00026337,0.000109
4.0,0.00020465,0.00023748,8.95e-05
4.2,0.00019156,0.000215,7.68e-05
4.4,0.00017845,0.00019539,6.92e-05
4.6,0.00016507,0.00017822,6.18e-05
4.8,0.00015176,0.00016312,5.38e-05
5.0,0.00013897,0.00014979,4.64e-05
5.5,0.00011121,0.00012268,3.56e-05
6.0,9.024e-05,0.00010221,3.02e-05
6.5,7.495e-05,8.643e-05,2.45e-05
7.0,6.365e-05,7.403e-05,1.98e-05
7.5,5.504e-05,6.412e-05,1.67e-05
8.0,4.826e-05,5.608e-05,1.48e-05
8.5,4.275e-05,4.946e-05,1.37e-05
9.0,3.817e-05,4.396e-05,1.25e-05
9.5,3.431e-05,3.933e-05,1.13e-05
10.0,3.1e-05,3.54e-05,1.0e-05
11.0,2.567e-05,2.913e-05,7.83e-06
12.0,2.158e-05,2.439e-05,6.38e-06
13.0,1.838e-05,2.073e-05,5.35e-06
14.0,1.584e-05,1.784e-05,4.62e-06
15.0,1.379e-05,1.551e-05,4.03e-06
20.0,7.73e-06,8.68e-06,2.41e-06
