
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 2119
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 2119, -, 1.0, -, 11.8, 17.1, 0.0, "Big Bear City", 2003, "Anza - Tripp Flats Training", 4.92, strike slip, 77.83, 78.16, 480.22, 0.28, 1.0, RSN2119_BEARCTY_TRF090.AT2, RSN2119_BEARCTY_TRF360.AT2 , RSN2119_BEARCTY_TRF-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-2119 RotD50 pSa (g)
0.01,0.00676932,0.00676932,0.00676932,0.00676932
0.02,0.00693849,0.00693849,0.00693849,0.00693849
0.022,0.00701584,0.00701584,0.00701584,0.00701584
0.025,0.00715696,0.00715696,0.00715696,0.00715696
0.029,0.00724564,0.00724564,0.00724564,0.00724564
0.03,0.00721078,0.00721078,0.00721078,0.00721078
0.032,0.00718532,0.00718532,0.00718532,0.00718532
0.035,0.00714219,0.00714219,0.00714219,0.00714219
0.036,0.00723773,0.00723773,0.00723773,0.00723773
0.04,0.00762054,0.00762054,0.00762054,0.00762054
0.042,0.00781975,0.00781975,0.00781975,0.00781975
0.044,0.00830845,0.00830845,0.00830845,0.00830845
0.045,0.00850178,0.00850178,0.00850178,0.00850178
0.046,0.00850292,0.00850292,0.00850292,0.00850292
0.048,0.00831247,0.00831247,0.00831247,0.00831247
0.05,0.00842373,0.00842373,0.00842373,0.00842373
0.055,0.00884566,0.00884566,0.00884566,0.00884566
0.06,0.01010923,0.01010923,0.01010923,0.01010923
0.065,0.01141659,0.01141659,0.01141659,0.01141659
0.067,0.01312815,0.01312815,0.01312815,0.01312815
0.07,0.01432826,0.01432826,0.01432826,0.01432826
0.075,0.01262746,0.01262746,0.01262746,0.01262746
0.08,0.01604774,0.01604774,0.01604774,0.01604774
0.085,0.01730104,0.01730104,0.01730104,0.01730104
0.09,0.01949625,0.01949625,0.01949625,0.01949625
0.095,0.02332141,0.02332141,0.02332141,0.02332141
0.1,0.02453057,0.02453057,0.02453057,0.02453057
0.11,0.02684195,0.02684195,0.02684195,0.02684195
0.12,0.02349812,0.02349812,0.02349812,0.02349812
0.13,0.02749299,0.02749299,0.02749299,0.02749299
0.133,0.02673183,0.02673183,0.02673183,0.02673183
0.14,0.02041486,0.02041486,0.02041486,0.02041486
0.15,0.01735646,0.01735646,0.01735646,0.01735646
0.16,0.01687932,0.01687932,0.01687932,0.01687932
0.17,0.01846937,0.01846937,0.01846937,0.01846937
0.18,0.01871355,0.01871355,0.01871355,0.01871355
0.19,0.02024058,0.02024058,0.02024058,0.02024058
0.2,0.02022507,0.02022507,0.02022507,0.02022507
0.22,0.01743506,0.01743506,0.01743506,0.01743506
0.24,0.01108443,0.01108443,0.01108443,0.01108443
0.25,0.01044036,0.01044036,0.01044036,0.01044036
0.26,0.00981099,0.00981099,0.00981099,0.00981099
0.28,0.00831903,0.00831903,0.00831903,0.00831903
0.29,0.00758859,0.00758859,0.00758859,0.00758859
0.3,0.00684357,0.00684357,0.00684357,0.00684357
0.32,0.00538483,0.00538483,0.00538483,0.00538483
0.34,0.00483014,0.00483014,0.00483014,0.00483014
0.35,0.00453973,0.00453973,0.00453973,0.00453973
0.36,0.00410358,0.00410358,0.00410358,0.00410358
0.38,0.00432627,0.00432627,0.00432627,0.00432627
0.4,0.00408799,0.00408799,0.00408799,0.00408799
0.42,0.00372604,0.00372604,0.00372604,0.00372604
0.44,0.00374957,0.00374957,0.00374957,0.00374957
0.45,0.00376781,0.00376781,0.00376781,0.00376781
0.46,0.00365306,0.00365306,0.00365306,0.00365306
0.48,0.0036546,0.0036546,0.0036546,0.0036546
0.5,0.00355008,0.00355008,0.00355008,0.00355008
0.55,0.00323325,0.00323325,0.00323325,0.00323325
0.6,0.00295592,0.00295592,0.00295592,0.00295592
0.65,0.00252398,0.00252398,0.00252398,0.00252398
0.667,0.00228888,0.00228888,0.00228888,0.00228888
0.7,0.00193399,0.00193399,0.00193399,0.00193399
0.75,0.00156399,0.00156399,0.00156399,0.00156399
0.8,0.001226,0.001226,0.001226,0.001226
0.85,0.00105572,0.00105572,0.00105572,0.00105572
0.9,0.00093843,0.00093843,0.00093843,0.00093843
0.95,0.0008565,0.0008565,0.0008565,0.0008565
1.0,0.00077634,0.00077634,0.00077634,0.00077634
1.1,0.00064096,0.00064096,0.00064096,0.00064096
1.2,0.00060071,0.00060071,0.00060071,0.00060071
1.3,0.00041061,0.00041061,0.00041061,0.00041061
1.4,0.00036924,0.00036924,0.00036924,0.00036924
1.5,0.00033208,0.00033208,0.00033208,0.00033208
1.6,0.00029044,0.00029044,0.00029044,0.00029044
1.7,0.00024659,0.00024659,0.00024659,0.00024659
1.8,0.00028384,0.00028384,0.00028384,0.00028384
1.9,0.00031642,0.00031642,0.00031642,0.00031642
2.0,0.00032691,0.00032691,0.00032691,0.00032691
2.2,0.00026167,0.00026167,0.00026167,0.00026167
2.4,0.00022087,0.00022087,0.00022087,0.00022087
2.5,0.00020428,0.00020428,0.00020428,0.00020428
2.6,0.00017517,0.00017517,0.00017517,0.00017517
2.8,0.00012887,0.00012887,0.00012887,0.00012887
3.0,0.00010143,0.00010143,0.00010143,0.00010143
3.2,9.63e-05,9.63e-05,9.63e-05,9.63e-05
3.4,9.528e-05,9.528e-05,9.528e-05,9.528e-05
3.5,9.079e-05,9.079e-05,9.079e-05,9.079e-05
3.6,8.398e-05,8.398e-05,8.398e-05,8.398e-05
3.8,6.889e-05,6.889e-05,6.889e-05,6.889e-05
4.0,5.855e-05,5.855e-05,5.855e-05,5.855e-05
4.2,5.311e-05,5.311e-05,5.311e-05,5.311e-05
4.4,5.008e-05,5.008e-05,5.008e-05,5.008e-05
4.6,4.745e-05,4.745e-05,4.745e-05,4.745e-05
4.8,4.196e-05,4.196e-05,4.196e-05,4.196e-05
5.0,3.464e-05,3.464e-05,3.464e-05,3.464e-05
5.5,2.53e-05,2.53e-05,2.53e-05,2.53e-05
6.0,1.788e-05,1.788e-05,1.788e-05,1.788e-05
6.5,1.404e-05,1.404e-05,1.404e-05,1.404e-05
7.0,1.177e-05,1.177e-05,1.177e-05,1.177e-05
7.5,9.95e-06,9.95e-06,9.95e-06,9.95e-06
8.0,8.3e-06,8.3e-06,8.3e-06,8.3e-06
8.5,7.43e-06,7.43e-06,7.43e-06,7.43e-06
9.0,6.47e-06,6.47e-06,6.47e-06,6.47e-06
9.5,5.52e-06,5.52e-06,5.52e-06,5.52e-06
10.0,4.98e-06,4.98e-06,4.98e-06,4.98e-06
11.0,4.13e-06,4.13e-06,4.13e-06,4.13e-06
12.0,3.59e-06,3.59e-06,3.59e-06,3.59e-06
13.0,3.09e-06,3.09e-06,3.09e-06,3.09e-06
14.0,2.66e-06,2.66e-06,2.66e-06,2.66e-06
15.0,2.32e-06,2.32e-06,2.32e-06,2.32e-06
20.0,1.37e-06,1.37e-06,1.37e-06,1.37e-06

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-2119 Horizontal-1 pSa (g),RSN-2119 Horizontal-2 pSa (g),RSN-2119 Vertical pSa (g)
0.01,0.00525065,0.00812832,0.00566
0.02,0.00538292,0.00827552,0.00602
0.022,0.00540332,0.00827846,0.00613
0.025,0.00538612,0.00840823,0.00636
0.029,0.00566309,0.00845002,0.00655
0.03,0.00571163,0.00860785,0.00661
0.032,0.00583422,0.00878763,0.00702
0.035,0.00594894,0.00878946,0.00699
0.036,0.00600973,0.00891598,0.00692
0.04,0.00622561,0.00925729,0.00779
0.042,0.00653297,0.00935754,0.00803
0.044,0.00680119,0.0101095,0.00794
0.045,0.00683339,0.01063778,0.00785
0.046,0.00673445,0.01110323,0.00833
0.048,0.00694124,0.01155436,0.0103
0.05,0.00716684,0.01187461,0.0116
0.055,0.00708232,0.01097788,0.0147
0.06,0.00804914,0.01293053,0.0169
0.065,0.00876627,0.01565997,0.0235
0.067,0.00957862,0.01560545,0.0245
0.07,0.00995171,0.01436117,0.0241
0.075,0.0115548,0.01240793,0.0221
0.08,0.01334802,0.01859534,0.0188
0.085,0.01326722,0.02065261,0.0184
0.09,0.01464305,0.02184486,0.0162
0.095,0.01898558,0.02535912,0.0168
0.1,0.02229095,0.02802912,0.0131
0.11,0.02386753,0.03262446,0.00906
0.12,0.01629977,0.02719105,0.00792
0.13,0.01698217,0.03821091,0.00636
0.133,0.01631371,0.03686506,0.00613
0.14,0.01452472,0.02721559,0.00552
0.15,0.01449533,0.02208718,0.00582
0.16,0.01503976,0.01984611,0.00635
0.17,0.02064859,0.01858931,0.00547
0.18,0.02303738,0.01590429,0.00477
0.19,0.02426883,0.01245171,0.00539
0.2,0.02409636,0.01327607,0.00485
0.22,0.02004385,0.01519748,0.00402
0.24,0.01301664,0.01072069,0.00361
0.25,0.01103969,0.00912132,0.00374
0.26,0.00955936,0.00840372,0.00382
0.28,0.00728587,0.00756457,0.00332
0.29,0.00661585,0.00678594,0.00284
0.3,0.00600467,0.00611183,0.00233
0.32,0.00524896,0.00461612,0.00174
0.34,0.0050909,0.00415657,0.00136
0.35,0.00461898,0.00416479,0.00125
0.36,0.00408163,0.00416535,0.00131
0.38,0.00357494,0.00438156,0.00142
0.4,0.003456,0.00429635,0.00167
0.42,0.00361633,0.00376265,0.00164
0.44,0.0038858,0.00355513,0.00156
0.45,0.00409123,0.00341309,0.00157
0.46,0.0040785,0.00326823,0.00157
0.48,0.00425658,0.00303343,0.00154
0.5,0.00424084,0.00287419,0.00145
0.55,0.00395227,0.0025448,0.00118
0.6,0.00348887,0.00230912,0.00108
0.65,0.00293276,0.00215043,0.000956
0.667,0.00264662,0.00199563,0.000904
0.7,0.00223978,0.0016986,0.000872
0.75,0.00176164,0.00150188,0.000774
0.8,0.00137181,0.00119766,0.000601
0.85,0.00117013,0.0009679,0.000605
0.9,0.00100129,0.0008066,0.000554
0.95,0.00094813,0.00066219,0.000444
1.0,0.00087934,0.00060751,0.000388
1.1,0.00069783,0.00064306,0.000332
1.2,0.00058934,0.00069964,0.000377
1.3,0.00040564,0.00049621,0.000341
1.4,0.00035694,0.00045226,0.000404
1.5,0.00032141,0.00035813,0.000358
1.6,0.00028253,0.00033264,0.000301
1.7,0.00024368,0.00031367,0.00033
1.8,0.00023013,0.00032963,0.000267
1.9,0.00023003,0.00039752,0.00026
2.0,0.00017304,0.00039901,0.000268
2.2,0.00012194,0.00033462,0.000208
2.4,0.00011405,0.0003095,0.000128
2.5,0.0001094,0.00028644,0.000107
2.6,0.00010321,0.00024629,0.000114
2.8,8.688e-05,0.00018046,0.000101
3.0,7.226e-05,0.00013303,0.00011
3.2,6.348e-05,0.00012558,0.000109
3.4,5.609e-05,0.00012292,9.98e-05
3.5,5.29e-05,0.0001158,9.54e-05
