
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 3684
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 3684, -, 1.0, -, 6.7, 11.8, 0.0, "Whittier Narrows-02", 1987, "Anaheim - W Ball Rd", 5.27, Reverse Oblique, 28.37, 30.42, 269.29, 0.4375, 1.0, RSN3684_WHITTIER.B_B-WBA000.AT2, RSN3684_WHITTIER.B_B-WBA090.AT2 , RSN3684_WHITTIER.B_B-WBA-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-3684 RotD50 pSa (g)
0.01,0.02801648,0.02801648,0.02801648,0.02801648
0.02,0.02823463,0.02823463,0.02823463,0.02823463
0.022,0.02825178,0.02825178,0.02825178,0.02825178
0.025,0.02837401,0.02837401,0.02837401,0.02837401
0.029,0.02876028,0.02876028,0.02876028,0.02876028
0.03,0.02877091,0.02877091,0.02877091,0.02877091
0.032,0.02885103,0.02885103,0.02885103,0.02885103
0.035,0.02889494,0.02889494,0.02889494,0.02889494
0.036,0.02891983,0.02891983,0.02891983,0.02891983
0.04,0.02967792,0.02967792,0.02967792,0.02967792
0.042,0.02996599,0.02996599,0.02996599,0.02996599
0.044,0.0301093,0.0301093,0.0301093,0.0301093
0.045,0.03016202,0.03016202,0.03016202,0.03016202
0.046,0.03057333,0.03057333,0.03057333,0.03057333
0.048,0.03131284,0.03131284,0.03131284,0.03131284
0.05,0.03184548,0.03184548,0.03184548,0.03184548
0.055,0.03130535,0.03130535,0.03130535,0.03130535
0.06,0.03243917,0.03243917,0.03243917,0.03243917
0.065,0.03434848,0.03434848,0.03434848,0.03434848
0.067,0.03617451,0.03617451,0.03617451,0.03617451
0.07,0.03738917,0.03738917,0.03738917,0.03738917
0.075,0.04219826,0.04219826,0.04219826,0.04219826
0.08,0.04213065,0.04213065,0.04213065,0.04213065
0.085,0.04341087,0.04341087,0.04341087,0.04341087
0.09,0.05088331,0.05088331,0.05088331,0.05088331
0.095,0.04767704,0.04767704,0.04767704,0.04767704
0.1,0.04881791,0.04881791,0.04881791,0.04881791
0.11,0.05543032,0.05543032,0.05543032,0.05543032
0.12,0.06536944,0.06536944,0.06536944,0.06536944
0.13,0.07148134,0.07148134,0.07148134,0.07148134
0.133,0.07582399,0.07582399,0.07582399,0.07582399
0.14,0.07697633,0.07697633,0.07697633,0.07697633
0.15,0.06206972,0.06206972,0.06206972,0.06206972
0.16,0.05906149,0.05906149,0.05906149,0.05906149
0.17,0.06764177,0.06764177,0.06764177,0.06764177
0.18,0.06188599,0.06188599,0.06188599,0.06188599
0.19,0.06550461,0.06550461,0.06550461,0.06550461
0.2,0.07223086,0.07223086,0.07223086,0.07223086
0.22,0.08141901,0.08141901,0.08141901,0.08141901
0.24,0.07243289,0.07243289,0.07243289,0.07243289
0.25,0.07628749,0.07628749,0.07628749,0.07628749
0.26,0.08296333,0.08296333,0.08296333,0.08296333
0.28,0.09337706,0.09337706,0.09337706,0.09337706
0.29,0.09233701,0.09233701,0.09233701,0.09233701
0.3,0.08999363,0.08999363,0.08999363,0.08999363
0.32,0.09298434,0.09298434,0.09298434,0.09298434
0.34,0.1035364,0.1035364,0.1035364,0.1035364
0.35,0.09873851,0.09873851,0.09873851,0.09873851
0.36,0.09331474,0.09331474,0.09331474,0.09331474
0.38,0.08280233,0.08280233,0.08280233,0.08280233
0.4,0.07056188,0.07056188,0.07056188,0.07056188
0.42,0.06101184,0.06101184,0.06101184,0.06101184
0.44,0.0544586,0.0544586,0.0544586,0.0544586
0.45,0.05073015,0.05073015,0.05073015,0.05073015
0.46,0.04751783,0.04751783,0.04751783,0.04751783
